"Status","Year","Disability","Region_ITL2","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Outside London","AA/AO","120","110","23830","23230"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Outside London","EO","225","205","29080","29290"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Outside London","G6/G7","30","30","64270","61890"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Outside London","SEO/HEO","95","90","39700","38080"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Outside London","Unknown","70","65","29160","28200"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","AA/AO","320","300","25560","23520"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","EO","295","275","29130","27760"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","G6/G7","65","60","59800","56540"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SEO/HEO","245","235","37640","35930"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","115","110","30580","28200"
"In post","2022","Declared disabled","Cheshire","Outside London","AA/AO","135","120","22550","21260"
"In post","2022","Declared disabled","Cheshire","Outside London","EO","165","150","28330","27570"
"In post","2022","Declared disabled","Cheshire","Outside London","G6/G7","30","30","58320","57110"
"In post","2022","Declared disabled","Cheshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cheshire","Outside London","SEO/HEO","85","80","36770","36500"
"In post","2022","Declared disabled","Cheshire","Outside London","Unknown","45","40","28700","28200"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","Outside London","AA/AO","105","90","21090","21260"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","Outside London","EO","80","75","27420","27570"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","Outside London","SEO/HEO","30","30","35140","33410"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","Outside London","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","Cumbria","Outside London","AA/AO","100","85","21380","21300"
"In post","2022","Declared disabled","Cumbria","Outside London","EO","70","60","26540","27550"
"In post","2022","Declared disabled","Cumbria","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Cumbria","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cumbria","Outside London","SEO/HEO","45","40","35720","35900"
"In post","2022","Declared disabled","Cumbria","Outside London","Unknown","35","30","36250","31420"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","Outside London","AA/AO","510","455","22470","21260"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","Outside London","EO","535","485","27120","27570"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","Outside London","G6/G7","115","110","57610","55210"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","Outside London","SEO/HEO","415","395","35710","33680"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","Outside London","Unknown","165","150","30290","28200"
"In post","2022","Declared disabled","Devon","Outside London","AA/AO","395","345","22150","21260"
"In post","2022","Declared disabled","Devon","Outside London","EO","305","270","27590","27570"
"In post","2022","Declared disabled","Devon","Outside London","G6/G7","50","45","55200","51040"
"In post","2022","Declared disabled","Devon","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Devon","Outside London","SEO/HEO","225","210","37240","36710"
"In post","2022","Declared disabled","Devon","Outside London","Unknown","80","70","31380","29270"
"In post","2022","Declared disabled","Dorset and Somerset","Outside London","AA/AO","200","180","22470","21260"
"In post","2022","Declared disabled","Dorset and Somerset","Outside London","EO","225","205","27540","27570"
"In post","2022","Declared disabled","Dorset and Somerset","Outside London","G6/G7","20","15","[c]","[c]"
"In post","2022","Declared disabled","Dorset and Somerset","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Dorset and Somerset","Outside London","SEO/HEO","150","140","37560","35570"
"In post","2022","Declared disabled","Dorset and Somerset","Outside London","Unknown","65","60","29650","28200"
"In post","2022","Declared disabled","East Anglia","Outside London","AA/AO","490","440","23400","21500"
"In post","2022","Declared disabled","East Anglia","Outside London","EO","465","420","27620","27570"
"In post","2022","Declared disabled","East Anglia","Outside London","G6/G7","50","50","56980","54540"
"In post","2022","Declared disabled","East Anglia","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Anglia","Outside London","SEO/HEO","345","325","36780","34290"
"In post","2022","Declared disabled","East Anglia","Outside London","Unknown","125","115","29180","28200"
"In post","2022","Declared disabled","East Wales","Outside London","AA/AO","535","475","21790","21260"
"In post","2022","Declared disabled","East Wales","Outside London","EO","500","460","27120","27460"
"In post","2022","Declared disabled","East Wales","Outside London","G6/G7","190","185","57810","55610"
"In post","2022","Declared disabled","East Wales","Outside London","SCS level","20","20","[c]","[c]"
"In post","2022","Declared disabled","East Wales","Outside London","SEO/HEO","555","530","36380","35310"
"In post","2022","Declared disabled","East Wales","Outside London","Unknown","90","80","30650","29660"
"In post","2022","Declared disabled","East Yorkshire and Northern Lincolnshire","Outside London","AA/AO","205","175","23140","21260"
"In post","2022","Declared disabled","East Yorkshire and Northern Lincolnshire","Outside London","EO","210","190","27510","27570"
"In post","2022","Declared disabled","East Yorkshire and Northern Lincolnshire","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Yorkshire and Northern Lincolnshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
