"Status","Year","Parent_department","Region_ITL3","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Barnsley, Doncaster and Rotherham","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Barnsley, Doncaster and Rotherham","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Barnsley, Doncaster and Rotherham","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","Outside London","Heterosexual / straight","90","85","41480","35020"
"In post","2022","Attorney General's Departments","Berkshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","Outside London","Unknown","30","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","London","Heterosexual / straight","10","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Birmingham","Outside London","Heterosexual / straight","360","340","40010","38000"
"In post","2022","Attorney General's Departments","Birmingham","Outside London","LGBO","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Birmingham","Outside London","Undeclared","15","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Birmingham","Outside London","Unknown","115","105","42410","48080"
"In post","2022","Attorney General's Departments","Blackburn with Darwen","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Blackburn with Darwen","Outside London","LGBO","[c]","[c]","[c]","[c]"
