"Status","Year","Ethnicity","Region_ITL1","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","East Midlands (England)","AA/AO","Heterosexual / straight","600","530","21580","21250"
"In post","2022","Asian","East Midlands (England)","AA/AO","LGBO","15","10","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","AA/AO","Undeclared","45","40","21100","20970"
"In post","2022","Asian","East Midlands (England)","AA/AO","Unknown","105","85","21770","21260"
"In post","2022","Asian","East Midlands (England)","EO","Heterosexual / straight","485","460","27080","27570"
"In post","2022","Asian","East Midlands (England)","EO","LGBO","15","10","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","EO","Undeclared","25","25","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","EO","Unknown","80","70","27370","27570"
"In post","2022","Asian","East Midlands (England)","G6/G7","Heterosexual / straight","85","85","57170","55210"
"In post","2022","Asian","East Midlands (England)","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","SEO/HEO","Heterosexual / straight","320","305","35090","33370"
"In post","2022","Asian","East Midlands (England)","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","SEO/HEO","Unknown","45","45","36630","33370"
"In post","2022","Asian","East Midlands (England)","Unknown","Heterosexual / straight","70","65","29180","28200"
"In post","2022","Asian","East Midlands (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","AA/AO","Heterosexual / straight","300","260","23000","21680"
"In post","2022","Asian","East of England","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","East of England","AA/AO","Undeclared","40","30","22660","21680"
"In post","2022","Asian","East of England","AA/AO","Unknown","25","20","[c]","[c]"
"In post","2022","Asian","East of England","EO","Heterosexual / straight","385","360","28070","27570"
"In post","2022","Asian","East of England","EO","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","East of England","EO","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","East of England","EO","Unknown","35","30","28470","28530"
"In post","2022","Asian","East of England","G6/G7","Heterosexual / straight","55","55","61530","59650"
"In post","2022","Asian","East of England","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
