"Status","Year","Function_of_post","Parent_department","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Digital, Data & Technology","Department for Work and Pensions","Project Delivery","EO","15","10","27380","27570"
"In post","2022","Digital, Data & Technology","Department for Work and Pensions","Project Delivery","G6/G7","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Work and Pensions","Project Delivery","SEO/HEO","65","55","33990","33410"
"In post","2022","Digital, Data & Technology","Department for Work and Pensions","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Work and Pensions","Security","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Work and Pensions","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Work and Pensions","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Commercial","SEO/HEO","10","10","34940","33040"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Communications","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Digital, Data and Technology","AA/AO","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Digital, Data and Technology","EO","35","35","27000","27270"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Digital, Data and Technology","G6/G7","110","110","58300","53830"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Digital, Data and Technology","SCS level","20","20","87160","79720"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Digital, Data and Technology","SEO/HEO","215","210","36080","33970"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Medicine","AA/AO","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Medicine","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Medicine","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Operational Delivery","G6/G7","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Operational Delivery","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Food Standards Agency","Digital, Data and Technology","G6/G7","20","20","55290","52070"
"In post","2022","Digital, Data & Technology","Food Standards Agency","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Food Standards Agency","Digital, Data and Technology","SEO/HEO","35","35","37210","37910"
"In post","2022","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Digital, Data and Technology","AA/AO","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Digital, Data and Technology","EO","50","50","29120","26990"
"In post","2022","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Digital, Data and Technology","G6/G7","80","75","57670","56000"
"In post","2022","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Digital, Data and Technology","SCS level","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Digital, Data and Technology","SEO/HEO","165","160","40020","38680"
"In post","2022","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Operational Delivery","EO","10","10","26120","26120"
"In post","2022","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Operational Delivery","SEO/HEO","15","15","35650","33930"
"In post","2022","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","HM Land Registry","Digital, Data and Technology","AA/AO","55","50","22190","22600"
"In post","2022","Digital, Data & Technology","HM Land Registry","Digital, Data and Technology","EO","190","180","29500","29760"
"In post","2022","Digital, Data & Technology","HM Land Registry","Digital, Data and Technology","G6/G7","55","55","60010","56750"
"In post","2022","Digital, Data & Technology","HM Land Registry","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","HM Land Registry","Digital, Data and Technology","SEO/HEO","405","385","40500","38550"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Digital, Data and Technology","AA/AO","25","20","22020","21250"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Digital, Data and Technology","EO","260","245","27660","26820"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Digital, Data and Technology","G6/G7","540","530","58500","55210"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Digital, Data and Technology","SCS level","40","40","81070","76430"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Digital, Data and Technology","SEO/HEO","1300","1255","37040","35980"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Operational Delivery","AA/AO","20","15","21570","21250"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Operational Delivery","EO","90","85","27280","26820"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Operational Delivery","G6/G7","50","50","58090","55210"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Operational Delivery","SEO/HEO","235","225","36410","33370"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Operational Research","G6/G7","10","10","56520","55210"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Operational Research","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Tax","EO","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Tax","G6/G7","15","15","58210","55210"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Tax","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Tax","SEO/HEO","55","55","37230","35980"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Unknown","EO","40","40","27140","26820"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Unknown","G6/G7","120","120","58540","55210"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Unknown","SCS level","20","20","116170","113600"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Unknown","SEO/HEO","175","175","36990","35980"
"In post","2022","Digital, Data & Technology","HM Treasury","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","HM Treasury","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","HM Treasury","Communications","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","HM Treasury","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","HM Treasury","Digital, Data and Technology","EO","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","HM Treasury","Digital, Data and Technology","G6/G7","25","25","64840","62000"
"In post","2022","Digital, Data & Technology","HM Treasury","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","HM Treasury","Digital, Data and Technology","SEO/HEO","25","25","40920","39820"
"In post","2022","Digital, Data & Technology","HM Treasury","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","HM Treasury","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","HM Treasury","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Digital, Data and Technology","AA/AO","260","250","21910","21330"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Digital, Data and Technology","EO","645","630","27400","26670"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Digital, Data and Technology","G6/G7","205","205","58040","54540"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Digital, Data and Technology","SCS level","20","20","103480","97190"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Digital, Data and Technology","SEO/HEO","1250","1225","37000","36300"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Digital, Data and Technology","Unknown","25","25","37260","38000"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Knowledge and Information Management","AA/AO","195","190","22060","21380"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Knowledge and Information Management","EO","175","170","27280","26670"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Knowledge and Information Management","G6/G7","45","45","58060","55080"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Knowledge and Information Management","SEO/HEO","275","270","35740","34610"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Knowledge and Information Management","Unknown","35","35","34710","33000"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Other","SEO/HEO","15","15","30270","29850"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Project Delivery","G6/G7","10","10","57170","54130"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Project Delivery","SEO/HEO","25","25","37570","40000"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Science and Engineering","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Digital, Data and Technology","AA/AO","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Digital, Data and Technology","EO","120","120","26540","25360"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Digital, Data and Technology","G6/G7","505","500","59960","59000"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Digital, Data and Technology","SCS level","15","15","93690","90800"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Digital, Data and Technology","SEO/HEO","520","515","37840","36050"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Digital, Data and Technology","Unknown","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Operational Delivery","G6/G7","10","10","58170","57430"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Operational Delivery","SEO/HEO","45","40","37740","36050"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Project Delivery","G6/G7","10","10","59510","57780"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Project Delivery","SEO/HEO","15","15","37790","36720"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","National Crime Agency","Digital, Data and Technology","AA/AO","20","20","23110","21970"
"In post","2022","Digital, Data & Technology","National Crime Agency","Digital, Data and Technology","EO","70","65","31330","31940"
"In post","2022","Digital, Data & Technology","National Crime Agency","Digital, Data and Technology","G6/G7","40","40","63990","60220"
"In post","2022","Digital, Data & Technology","National Crime Agency","Digital, Data and Technology","SCS level","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","National Crime Agency","Digital, Data and Technology","SEO/HEO","135","130","43370","43490"
"In post","2022","Digital, Data & Technology","Northern Ireland Office","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Northern Ireland Office","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","Digital, Data and Technology","EO","10","10","26370","25880"
"In post","2022","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","Digital, Data and Technology","G6/G7","25","25","65300","62810"
"In post","2022","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","Digital, Data and Technology","SEO/HEO","40","35","36920","39460"
"In post","2022","Digital, Data & Technology","Office of Gas and Electricity Markets","Digital, Data and Technology","EO","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Office of Gas and Electricity Markets","Digital, Data and Technology","G6/G7","40","40","64820","65000"
"In post","2022","Digital, Data & Technology","Office of Gas and Electricity Markets","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Office of Gas and Electricity Markets","Digital, Data and Technology","SEO/HEO","25","25","39470","39890"
"In post","2022","Digital, Data & Technology","Office of Gas and Electricity Markets","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Digital, Data and Technology","G6/G7","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Digital, Data and Technology","SEO/HEO","10","10","37360","38000"
"In post","2022","Digital, Data & Technology","Office of Rail and Road","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Office of Rail and Road","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Office of Rail and Road","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Scottish Government","Digital, Data and Technology","AA/AO","15","15","25370","25610"
"In post","2022","Digital, Data & Technology","Scottish Government","Digital, Data and Technology","EO","85","85","30420","30450"
"In post","2022","Digital, Data & Technology","Scottish Government","Digital, Data and Technology","G6/G7","35","35","61530","60820"
"In post","2022","Digital, Data & Technology","Scottish Government","Digital, Data and Technology","SEO/HEO","105","105","41420","40130"
"In post","2022","Digital, Data & Technology","The National Archives","Digital, Data and Technology","AA/AO","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","The National Archives","Digital, Data and Technology","EO","10","10","25510","24500"
"In post","2022","Digital, Data & Technology","The National Archives","Digital, Data and Technology","G6/G7","20","20","53900","51730"
"In post","2022","Digital, Data & Technology","The National Archives","Digital, Data and Technology","SEO/HEO","75","75","41480","40270"
"In post","2022","Digital, Data & Technology","The National Archives","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","The National Archives","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","The National Archives","Knowledge and Information Management","G6/G7","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","The National Archives","Knowledge and Information Management","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","UK Export Finance","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","UK Export Finance","Digital, Data and Technology","G6/G7","15","15","66640","65630"
"In post","2022","Digital, Data & Technology","UK Export Finance","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","UK Export Finance","Digital, Data and Technology","SEO/HEO","15","15","47020","49200"
"In post","2022","Digital, Data & Technology","UK Statistics Authority","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","UK Statistics Authority","Digital, Data and Technology","EO","85","80","24490","23880"
"In post","2022","Digital, Data & Technology","UK Statistics Authority","Digital, Data and Technology","G6/G7","260","255","53520","51210"
"In post","2022","Digital, Data & Technology","UK Statistics Authority","Digital, Data and Technology","SCS level","15","15","83130","77190"
"In post","2022","Digital, Data & Technology","UK Statistics Authority","Digital, Data and Technology","SEO/HEO","300","295","35200","36840"
"In post","2022","Digital, Data & Technology","UK Supreme Court","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","UK Supreme Court","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Water Services Regulation Authority","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Water Services Regulation Authority","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Water Services Regulation Authority","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Water Services Regulation Authority","Digital, Data and Technology","SEO/HEO","15","15","47500","47000"
"In post","2022","Digital, Data & Technology","Welsh Government","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Welsh Government","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Welsh Government","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Welsh Government","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Welsh Government","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Attorney General's Departments","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Attorney General's Departments","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Attorney General's Departments","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Attorney General's Departments","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Attorney General's Departments","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Attorney General's Departments","Finance","AA/AO","35","30","22320","22200"
"In post","2022","Finance","Attorney General's Departments","Finance","EO","35","35","26490","26220"
"In post","2022","Finance","Attorney General's Departments","Finance","G6/G7","25","20","60430","58950"
"In post","2022","Finance","Attorney General's Departments","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Attorney General's Departments","Finance","SEO/HEO","35","30","34660","32570"
"In post","2022","Finance","Attorney General's Departments","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Attorney General's Departments","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Cabinet Office","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Cabinet Office","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Cabinet Office","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Cabinet Office","Finance","EO","10","10","[c]","[c]"
"In post","2022","Finance","Cabinet Office","Finance","G6/G7","10","10","58080","56980"
"In post","2022","Finance","Cabinet Office","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Cabinet Office","Finance","SEO/HEO","10","10","36070","38330"
"In post","2022","Finance","Cabinet Office","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Cabinet Office","Unknown","EO","15","15","27130","27500"
"In post","2022","Finance","Cabinet Office","Unknown","G6/G7","45","45","57560","56000"
"In post","2022","Finance","Cabinet Office","Unknown","SCS level","5","5","[c]","[c]"
"In post","2022","Finance","Cabinet Office","Unknown","SEO/HEO","35","35","37860","37270"
"In post","2022","Finance","Chancellor's other departments","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Chancellor's other departments","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Chancellor's other departments","Finance","G6/G7","10","10","[c]","[c]"
"In post","2022","Finance","Chancellor's other departments","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Chancellor's other departments","Finance","SEO/HEO","15","15","41880","44810"
"In post","2022","Finance","Charity Commission","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Charity Commission","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Charity Commission","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Charity Commission","Finance","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Finance","Competition and Markets Authority","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Competition and Markets Authority","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Competition and Markets Authority","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Competition and Markets Authority","Corporate Finance","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Finance","Department for Business, Energy and Industrial Strategy","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Department for Business, Energy and Industrial Strategy","Finance","AA/AO","40","35","21490","21250"
"In post","2022","Finance","Department for Business, Energy and Industrial Strategy","Finance","EO","40","35","26310","26280"
"In post","2022","Finance","Department for Business, Energy and Industrial Strategy","Finance","G6/G7","110","105","59870","59010"
"In post","2022","Finance","Department for Business, Energy and Industrial Strategy","Finance","SCS level","15","15","89860","85840"
"In post","2022","Finance","Department for Business, Energy and Industrial Strategy","Finance","SEO/HEO","140","135","38950","39820"
"In post","2022","Finance","Department for Digital, Culture, Media and Sport","Finance","EO","10","10","[c]","[c]"
"In post","2022","Finance","Department for Digital, Culture, Media and Sport","Finance","G6/G7","30","30","61200","58720"
"In post","2022","Finance","Department for Digital, Culture, Media and Sport","Finance","SCS level","5","5","[c]","[c]"
"In post","2022","Finance","Department for Digital, Culture, Media and Sport","Finance","SEO/HEO","25","25","41120","41380"
"In post","2022","Finance","Department for Education","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Department for Education","Commercial","EO","10","10","25300","25000"
"In post","2022","Finance","Department for Education","Commercial","G6/G7","55","55","55330","51220"
"In post","2022","Finance","Department for Education","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Department for Education","Commercial","SEO/HEO","100","95","35320","36500"
"In post","2022","Finance","Department for Education","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Department for Education","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Department for Education","Digital, Data and Technology","AA/AO","5","5","[c]","[c]"
"In post","2022","Finance","Department for Education","Digital, Data and Technology","EO","20","20","25680","26000"
"In post","2022","Finance","Department for Education","Digital, Data and Technology","G6/G7","60","60","52700","50400"
"In post","2022","Finance","Department for Education","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Department for Education","Digital, Data and Technology","SEO/HEO","135","130","34530","36500"
"In post","2022","Finance","Department for Education","Finance","AA/AO","5","5","[c]","[c]"
"In post","2022","Finance","Department for Education","Finance","EO","95","90","25800","25000"
"In post","2022","Finance","Department for Education","Finance","G6/G7","245","235","55130","50940"
"In post","2022","Finance","Department for Education","Finance","SCS level","15","15","76920","74100"
"In post","2022","Finance","Department for Education","Finance","SEO/HEO","430","420","35080","36500"
"In post","2022","Finance","Department for Education","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Department for Education","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Department for Education","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Department for Education","Operational Delivery","SEO/HEO","10","10","33430","35330"
"In post","2022","Finance","Department for Education","Policy","EO","5","5","[c]","[c]"
"In post","2022","Finance","Department for Education","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Department for Education","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Department for Education","Policy","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Finance","Department for Education","Project Delivery","EO","[c]","[c]","[c]","[c]"
