"Status","Year","Parent_department","Region_ITL3","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Barnsley, Doncaster and Rotherham","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Barnsley, Doncaster and Rotherham","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Female","25","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","Outside London","Female","95","85","40320","32460"
"In post","2022","Attorney General's Departments","Berkshire","Outside London","Male","35","35","48950","53050"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","London","Female","10","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Birmingham","Outside London","Female","345","320","38890","34480"
"In post","2022","Attorney General's Departments","Birmingham","Outside London","Male","155","155","43560","48080"
"In post","2022","Attorney General's Departments","Blackburn with Darwen","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Blackburn with Darwen","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bradford","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bradford","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bridgend and Neath Port Talbot","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bridgend and Neath Port Talbot","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","Outside London","Female","85","80","39880","30110"
"In post","2022","Attorney General's Departments","Brighton and Hove","Outside London","Male","40","35","44310","46400"
"In post","2022","Attorney General's Departments","Bristol, City of","Outside London","Female","110","105","40970","48080"
"In post","2022","Attorney General's Departments","Bristol, City of","Outside London","Male","65","60","44920","48450"
"In post","2022","Attorney General's Departments","Bromley","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bromley","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Buckinghamshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Buckinghamshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Calderdale and Kirklees","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Calderdale and Kirklees","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cambridgeshire CC","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Cambridgeshire CC","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Camden and City of London","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Camden and City of London","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cardiff and Vale of Glamorgan","Outside London","Female","150","140","37400","32370"
"In post","2022","Attorney General's Departments","Cardiff and Vale of Glamorgan","Outside London","Male","75","75","46280","48080"
"In post","2022","Attorney General's Departments","Central Hampshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Central Hampshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire East","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire East","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Conwy and Denbighshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Conwy and Denbighshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","Outside London","Female","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Croydon","London","Female","35","30","36580","31710"
"In post","2022","Attorney General's Departments","Croydon","London","Male","25","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Derby","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derby","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Devon CC","Outside London","Female","60","55","38760","34480"
"In post","2022","Attorney General's Departments","Devon CC","Outside London","Male","45","45","41320","38090"
"In post","2022","Attorney General's Departments","Dorset","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Dorset","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Durham","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Durham","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Ealing","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Ealing","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Cumbria","Outside London","Female","25","20","[c]","[c]"
"In post","2022","Attorney General's Departments","East Cumbria","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","East Derbyshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Derbyshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Kent","Outside London","Female","80","75","37510","30110"
"In post","2022","Attorney General's Departments","East Kent","Outside London","Male","45","45","43040","42330"
"In post","2022","Attorney General's Departments","East Lothian and Midlothian","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Lothian and Midlothian","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Merseyside","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Merseyside","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Surrey","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Surrey","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Essex Haven Gateway","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Essex Haven Gateway","Outside London","Male","[c]","[c]","[c]","[c]"
