"Status","Year","Age","Function_of_post","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","Department for Business, Energy and Industrial Strategy","EO","10","10","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Environment, Food and Rural Affairs","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Work and Pensions","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Ministry of Defence","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Office of Gas and Electricity Markets","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","UK Statistics Authority","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","UK Statistics Authority","EO","5","5","[c]","[c]"
"In post","2022","16-19","Commercial","Attorney General's Departments","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Department for Environment, Food and Rural Affairs","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Ministry of Defence","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Scottish Government","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Cabinet Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Chancellor's other departments","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Education","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Environment, Food and Rural Affairs","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Foreign, Commonwealth and Development Office","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Land Registry","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Revenue and Customs","AO","5","5","[c]","[c]"
"In post","2022","16-19","Communications","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Office of Gas and Electricity Markets","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions","AO","5","5","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","AO","5","5","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","EO","5","5","[c]","[c]"
"In post","2022","16-19","Debt","Department for Work and Pensions","AO","5","5","[c]","[c]"
"In post","2022","16-19","Debt","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs","AO","40","40","21250","21250"
"In post","2022","16-19","Digital, Data & Technology","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Cabinet Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Transport","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Land Registry","AA","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Ministry of Defence","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Scottish Government","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","HM Revenue and Customs","AO","10","10","21250","21250"
"In post","2022","16-19","Finance","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Ministry of Defence","EO","15","15","19730","19460"
"In post","2022","16-19","Finance","Office of Qualifications and Examinations Regulation","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Scottish Government","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Department for Environment, Food and Rural Affairs","AO","10","10","20720","21300"
"In post","2022","16-19","Grants Management","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Attorney General's Departments","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Cabinet Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Levelling Up, Housing and Communities","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Transport","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Transport","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Transport","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","HM Land Registry","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","HM Treasury","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Ministry of Defence","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Office for Standards in Education, Children's Services and Skills","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Scottish Government","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Ministry of Defence","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Attorney General's Departments","AO","30","30","21460","21350"
"In post","2022","16-19","Legal","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","HM Revenue and Customs","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Cabinet Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Charity Commission","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Business, Energy and Industrial Strategy","AO","10","10","21500","21130"
"In post","2022","16-19","No function","Department for Education","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Education","EO","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department for Education","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Environment, Food and Rural Affairs","AO","10","10","21730","21300"
"In post","2022","16-19","No function","Department for Environment, Food and Rural Affairs","EO","15","15","24960","25170"
"In post","2022","16-19","No function","Department for Environment, Food and Rural Affairs","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Levelling Up, Housing and Communities","EO","10","10","[c]","[c]"
"In post","2022","16-19","No function","Department for Transport","AA","55","45","18310","18310"
"In post","2022","16-19","No function","Department for Transport","AO","25","25","21700","21840"
"In post","2022","16-19","No function","Department for Transport","EO","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department for Work and Pensions","AO","90","85","21460","21260"
"In post","2022","16-19","No function","Department for Work and Pensions","EO","30","30","27870","27570"
"In post","2022","16-19","No function","Department of Health and Social Care","AA","10","5","21050","22350"
"In post","2022","16-19","No function","Department of Health and Social Care","AO","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Foreign, Commonwealth and Development Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Land Registry","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Revenue and Customs","AO","115","110","21390","21250"
"In post","2022","16-19","No function","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Treasury","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Treasury","EO","5","5","[c]","[c]"
"In post","2022","16-19","No function","Ministry of Defence","AA","20","20","16770","15470"
"In post","2022","16-19","No function","Ministry of Defence","AO","5","5","[c]","[c]"
"In post","2022","16-19","No function","Ministry of Justice","AA","65","65","20800","20890"
"In post","2022","16-19","No function","Ministry of Justice","AO","125","125","24050","23140"
"In post","2022","16-19","No function","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","National Crime Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office for Standards in Education, Children's Services and Skills","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office of Qualifications and Examinations Regulation","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office of Rail and Road","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Scottish Government","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Scottish Government","AO","25","20","21670","21640"
"In post","2022","16-19","No function","The National Archives","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","UK Statistics Authority","AA","5","5","[c]","[c]"
"In post","2022","16-19","No function","UK Statistics Authority","AO","5","5","[c]","[c]"
"In post","2022","16-19","Project Delivery","Competition and Markets Authority","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Department for Environment, Food and Rural Affairs","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Department for Transport","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Department for Work and Pensions","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Foreign, Commonwealth and Development Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Ministry of Defence","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Ministry of Defence","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Ministry of Defence","EO","90","90","18440","18030"
"In post","2022","16-19","Project Delivery","Ministry of Defence","Unknown","15","15","18160","17140"
"In post","2022","16-19","Property","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Foreign, Commonwealth and Development Office","Unknown","15","15","19130","16630"
"In post","2022","16-19","Property","HM Revenue and Customs","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","HM Revenue and Customs","EO","15","15","26270","26030"
"In post","2022","16-19","Property","Ministry of Defence","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Attorney General's Departments","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Cabinet Office","EO","5","5","[c]","[c]"
"In post","2022","16-19","Security","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Ministry of Defence","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Ministry of Defence","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Ministry of Justice","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Work and Pensions","AO","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Foreign, Commonwealth and Development Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Home Office","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Home Office","AO","35","30","22260","21680"
"In post","2022","16-19","Unknown","Home Office","EO","20","20","25880","24880"
"In post","2022","16-19","Unknown","Ministry of Defence","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Ministry of Defence","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Ministry of Defence","Unknown","35","35","17940","16450"
"In post","2022","16-19","Unknown","Scottish Government","AA","45","45","21320","21050"
"In post","2022","16-19","Unknown","Scottish Government","AO","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Scottish Government","EO","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Welsh Government","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Cabinet Office","HEO","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Chancellor's other departments","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Chancellor's other departments","EO","10","10","27480","28230"
"In post","2022","20-29","Analysis","Chancellor's other departments","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Chancellor's other departments","G7","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Chancellor's other departments","HEO","25","25","36330","36490"
"In post","2022","20-29","Analysis","Chancellor's other departments","SEO","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Competition and Markets Authority","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Competition and Markets Authority","G7","10","10","54160","53530"
"In post","2022","20-29","Analysis","Competition and Markets Authority","HEO","15","15","33860","33120"
"In post","2022","20-29","Analysis","Department for Business, Energy and Industrial Strategy","AO","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Business, Energy and Industrial Strategy","EO","25","25","27140","27680"
"In post","2022","20-29","Analysis","Department for Business, Energy and Industrial Strategy","G7","20","20","57230","57620"
"In post","2022","20-29","Analysis","Department for Business, Energy and Industrial Strategy","HEO","110","110","34830","33880"
"In post","2022","20-29","Analysis","Department for Business, Energy and Industrial Strategy","SEO","10","10","41540","40520"
"In post","2022","20-29","Analysis","Department for Digital, Culture, Media and Sport","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Digital, Culture, Media and Sport","EO","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Digital, Culture, Media and Sport","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Digital, Culture, Media and Sport","G7","30","30","55090","55730"
"In post","2022","20-29","Analysis","Department for Digital, Culture, Media and Sport","HEO","45","45","37620","38020"
"In post","2022","20-29","Analysis","Department for Education","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Education","EO","10","10","26630","25000"
"In post","2022","20-29","Analysis","Department for Education","G7","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Education","HEO","25","25","33570","32870"
"In post","2022","20-29","Analysis","Department for Education","SEO","15","15","43400","45250"
"In post","2022","20-29","Analysis","Department for Environment, Food and Rural Affairs","AO","20","20","21150","21510"
"In post","2022","20-29","Analysis","Department for Environment, Food and Rural Affairs","EO","35","35","25280","25010"
"In post","2022","20-29","Analysis","Department for Environment, Food and Rural Affairs","HEO","30","30","29690","29750"
"In post","2022","20-29","Analysis","Department for International Trade","EO","25","25","26620","26250"
"In post","2022","20-29","Analysis","Department for International Trade","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Department for International Trade","G7","40","40","52520","51710"
"In post","2022","20-29","Analysis","Department for International Trade","HEO","70","70","31920","31800"
"In post","2022","20-29","Analysis","Department for International Trade","SEO","15","15","39610","38560"
"In post","2022","20-29","Analysis","Department for Levelling Up, Housing and Communities","EO","15","15","27420","27850"
"In post","2022","20-29","Analysis","Department for Levelling Up, Housing and Communities","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Levelling Up, Housing and Communities","G7","30","30","53100","53130"
"In post","2022","20-29","Analysis","Department for Levelling Up, Housing and Communities","HEO","40","40","32360","33210"
"In post","2022","20-29","Analysis","Department for Levelling Up, Housing and Communities","SEO","15","15","41380","42980"
"In post","2022","20-29","Analysis","Department for Transport","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Transport","EO","30","25","29070","29970"
"In post","2022","20-29","Analysis","Department for Transport","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Transport","G7","45","45","53900","54110"
"In post","2022","20-29","Analysis","Department for Transport","HEO","65","65","33540","34710"
"In post","2022","20-29","Analysis","Department for Transport","SEO","25","25","42220","42470"
"In post","2022","20-29","Analysis","Department for Work and Pensions","AO","45","40","22590","21260"
"In post","2022","20-29","Analysis","Department for Work and Pensions","EO","25","25","28290","27660"
"In post","2022","20-29","Analysis","Department for Work and Pensions","G7","20","20","56080","57230"
"In post","2022","20-29","Analysis","Department for Work and Pensions","HEO","150","150","34440","35000"
"In post","2022","20-29","Analysis","Department for Work and Pensions","SEO","35","35","37770","36780"
"In post","2022","20-29","Analysis","Department of Health and Social Care","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Department of Health and Social Care","EO","15","15","26720","27270"
"In post","2022","20-29","Analysis","Department of Health and Social Care","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Department of Health and Social Care","G7","65","65","53030","53360"
"In post","2022","20-29","Analysis","Department of Health and Social Care","HEO","50","50","32350","32790"
"In post","2022","20-29","Analysis","Department of Health and Social Care","SEO","20","20","39620","40650"
"In post","2022","20-29","Analysis","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Food Standards Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Food Standards Agency","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Food Standards Agency","HEO","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Food Standards Agency","SEO","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Foreign, Commonwealth and Development Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","HM Land Registry","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","HM Land Registry","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","HM Revenue and Customs","AO","10","10","23150","21250"
"In post","2022","20-29","Analysis","HM Revenue and Customs","EO","15","15","28250","26820"
"In post","2022","20-29","Analysis","HM Revenue and Customs","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","HM Revenue and Customs","G7","25","25","58900","60940"
"In post","2022","20-29","Analysis","HM Revenue and Customs","HEO","190","190","35500","37610"
"In post","2022","20-29","Analysis","HM Revenue and Customs","SEO","70","70","41390","40520"
"In post","2022","20-29","Analysis","HM Treasury","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","HM Treasury","G7","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","HM Treasury","HEO","10","10","36570","35610"
"In post","2022","20-29","Analysis","HM Treasury","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Ministry of Defence","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Ministry of Defence","AO","15","15","22270","22230"
"In post","2022","20-29","Analysis","Ministry of Defence","EO","40","40","28230","28010"
"In post","2022","20-29","Analysis","Ministry of Defence","G7","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Ministry of Defence","HEO","140","140","32120","29230"
"In post","2022","20-29","Analysis","Ministry of Defence","SEO","45","45","41230","38070"
"In post","2022","20-29","Analysis","Ministry of Justice","EO","45","45","27520","28310"
"In post","2022","20-29","Analysis","Ministry of Justice","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Ministry of Justice","G7","35","35","57580","59290"
"In post","2022","20-29","Analysis","Ministry of Justice","HEO","65","65","33650","34260"
"In post","2022","20-29","Analysis","Ministry of Justice","SEO","45","45","41810","41750"
"In post","2022","20-29","Analysis","Office for Standards in Education, Children's Services and Skills","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Office for Standards in Education, Children's Services and Skills","EO","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Office for Standards in Education, Children's Services and Skills","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Office for Standards in Education, Children's Services and Skills","HEO","10","10","32680","32010"
"In post","2022","20-29","Analysis","Office for Standards in Education, Children's Services and Skills","SEO","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Office of Gas and Electricity Markets","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Office of Gas and Electricity Markets","EO","35","35","27750","27630"
"In post","2022","20-29","Analysis","Office of Gas and Electricity Markets","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Office of Gas and Electricity Markets","G7","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Office of Gas and Electricity Markets","HEO","20","20","34340","34120"
"In post","2022","20-29","Analysis","Office of Gas and Electricity Markets","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Office of Rail and Road","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Office of Rail and Road","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Office of Rail and Road","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Office of Rail and Road","SEO","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Scottish Government","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","UK Export Finance","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","UK Export Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","UK Export Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","UK Statistics Authority","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","UK Statistics Authority","AO","45","45","20060","19860"
"In post","2022","20-29","Analysis","UK Statistics Authority","EO","55","50","24130","23880"
"In post","2022","20-29","Analysis","UK Statistics Authority","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","UK Statistics Authority","G7","40","40","50650","50210"
"In post","2022","20-29","Analysis","UK Statistics Authority","HEO","410","410","31300","30710"
"In post","2022","20-29","Analysis","UK Statistics Authority","SEO","180","180","38510","38340"
"In post","2022","20-29","Analysis","Water Services Regulation Authority","EO","10","10","28000","28000"
"In post","2022","20-29","Analysis","Water Services Regulation Authority","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Water Services Regulation Authority","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Water Services Regulation Authority","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Welsh Government","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Attorney General's Departments","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Attorney General's Departments","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Attorney General's Departments","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Cabinet Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Cabinet Office","EO","40","40","26340","25950"
"In post","2022","20-29","Commercial","Cabinet Office","G6","15","15","68740","64500"
"In post","2022","20-29","Commercial","Cabinet Office","G7","70","70","58160","54700"
"In post","2022","20-29","Commercial","Cabinet Office","HEO","55","55","31910","31250"
"In post","2022","20-29","Commercial","Cabinet Office","SEO","30","30","38790","38980"
"In post","2022","20-29","Commercial","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Chancellor's other departments","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Department for Business, Energy and Industrial Strategy","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Department for Business, Energy and Industrial Strategy","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Department for Business, Energy and Industrial Strategy","HEO","10","10","32570","33570"
"In post","2022","20-29","Commercial","Department for Business, Energy and Industrial Strategy","SEO","10","10","[c]","[c]"
"In post","2022","20-29","Commercial","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Department for Digital, Culture, Media and Sport","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Department for Digital, Culture, Media and Sport","HEO","10","10","[c]","[c]"
"In post","2022","20-29","Commercial","Department for Education","EO","20","20","24920","25000"
"In post","2022","20-29","Commercial","Department for Education","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Department for Education","HEO","15","15","29480","29360"
"In post","2022","20-29","Commercial","Department for Education","SEO","20","20","36820","36500"
"In post","2022","20-29","Commercial","Department for Environment, Food and Rural Affairs","AO","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Department for Environment, Food and Rural Affairs","HEO","[c]","[c]","[c]","[c]"
