"Status","Year","Function_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","London","AO","65","65","24420","24900"
"In post","2022","Analysis","London","EO","305","300","28850","28310"
"In post","2022","Analysis","London","G6","470","445","74750","70730"
"In post","2022","Analysis","London","G7","1145","1100","57190","56130"
"In post","2022","Analysis","London","HEO","1040","1025","35470","34870"
"In post","2022","Analysis","London","SCS level","140","135","92040","82310"
"In post","2022","Analysis","London","SEO","585","570","43520","42890"
"In post","2022","Analysis","Outside London","AA","5","5","[c]","[c]"
"In post","2022","Analysis","Outside London","AO","190","180","20990","21260"
"In post","2022","Analysis","Outside London","EO","565","535","25720","25120"
"In post","2022","Analysis","Outside London","G6","210","200","65570","65580"
"In post","2022","Analysis","Outside London","G7","980","930","52060","51210"
"In post","2022","Analysis","Outside London","HEO","1435","1390","31530","30710"
"In post","2022","Analysis","Outside London","SCS level","45","45","80700","74880"
"In post","2022","Analysis","Outside London","SEO","1255","1195","38970","38340"
"In post","2022","Analysis","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","AO","40","40","22740","23130"
"In post","2022","Commercial","London","EO","110","110","28520","28310"
"In post","2022","Commercial","London","G6","305","305","74540","70880"
"In post","2022","Commercial","London","G7","655","640","58860","55460"
"In post","2022","Commercial","London","HEO","210","205","34400","34260"
"In post","2022","Commercial","London","SCS level","200","195","114850","113880"
"In post","2022","Commercial","London","SEO","335","330","42900","41750"
"In post","2022","Commercial","Outside London","AA","35","30","22590","21640"
"In post","2022","Commercial","Outside London","AO","215","195","22570","21840"
"In post","2022","Commercial","Outside London","EO","640","610","26340","26350"
"In post","2022","Commercial","Outside London","G6","360","355","70590","67250"
"In post","2022","Commercial","Outside London","G7","880","860","55290","53320"
"In post","2022","Commercial","Outside London","HEO","940","910","32380","32740"
"In post","2022","Commercial","Outside London","SCS level","125","125","104140","97110"
"In post","2022","Commercial","Outside London","SEO","1290","1250","39840","40000"
"In post","2022","Commercial","Outside London","Unknown","165","165","40030","37400"
"In post","2022","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","G6","5","5","[c]","[c]"
