"Status","Year","Age","Disability","Organisation","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Animal and Plant Health Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cabinet Office (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cabinet Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Charity Commission","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Companies House","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Competition and Markets Authority","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Criminal Injuries Compensation Authority","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Crown Commercial Service","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Crown Commercial Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Crown Office and Procurator Fiscal Service","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Crown Prosecution Service","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Crown Prosecution Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Defence Electronics and Components Agency","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Defence Equipment and Support","EO","10","10","[c]","[c]"
"In post","2022","16-19","Declared disabled","Defence Science and Technology Laboratory","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Defence Science and Technology Laboratory","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Education (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Education (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Education (excl. agencies)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Transport (excl. agencies)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Work and Pensions (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Work and Pensions (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department of Health and Social Care (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department of Health and Social Care (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Disclosure Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Driver and Vehicle Licensing Agency","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Driver and Vehicle Licensing Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Driver and Vehicle Standards Agency","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Driver and Vehicle Standards Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Education and Skills Funding Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Education and Skills Funding Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","FCDO Services","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Food Standards Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Forestry and Land Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Government Actuary's Department","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Government Legal Department","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Government Legal Department","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Health and Safety Executive","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Courts and Tribunals Service","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Courts and Tribunals Service","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Courts and Tribunals Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Crown Prosecution Service Inspectorate","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Land Registry","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Land Registry","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Prison and Probation Service","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Prison and Probation Service","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Prison and Probation Service","EO","[c]","[c]","[c]","[c]"
