"Status","Year","Age","Ethnicity","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","White","North East (England)","35","35","22170","21260"
"In post","2022","16-19","White","North West (England)","80","80","22460","21260"
"In post","2022","16-19","White","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Scotland","70","70","21620","21250"
"In post","2022","16-19","White","South East (England)","80","75","22120","21640"
"In post","2022","16-19","White","South West (England)","105","105","19850","19460"
"In post","2022","16-19","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Wales","75","70","20540","19860"
"In post","2022","16-19","White","West Midlands (England)","30","30","[c]","[c]"
"In post","2022","16-19","White","Yorkshire and The Humber","40","40","21950","21260"
"In post","2022","20-29","Asian","East Midlands (England)","355","345","25880","26590"
"In post","2022","20-29","Asian","East of England","185","180","27320","27570"
"In post","2022","20-29","Asian","London","2925","2895","34420","32320"
"In post","2022","20-29","Asian","North East (England)","135","130","25830","23270"
"In post","2022","20-29","Asian","North West (England)","780","760","26490","26590"
"In post","2022","20-29","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","Overseas","20","20","[c]","[c]"
"In post","2022","20-29","Asian","Scotland","130","125","27050","24880"
"In post","2022","20-29","Asian","South East (England)","230","225","28390","27770"
"In post","2022","20-29","Asian","South West (England)","185","180","27820","27000"
"In post","2022","20-29","Asian","Unknown","30","30","[c]","[c]"
"In post","2022","20-29","Asian","Wales","135","130","26480","25670"
"In post","2022","20-29","Asian","West Midlands (England)","975","950","26190","25560"
"In post","2022","20-29","Asian","Yorkshire and The Humber","830","805","25840","26590"
"In post","2022","20-29","Black","East Midlands (England)","70","70","25770","25300"
"In post","2022","20-29","Black","East of England","85","85","27640","27570"
"In post","2022","20-29","Black","London","1545","1530","32380","31060"
"In post","2022","20-29","Black","North East (England)","20","20","[c]","[c]"
"In post","2022","20-29","Black","North West (England)","155","150","27770","26820"
"In post","2022","20-29","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","Scotland","25","25","[c]","[c]"
"In post","2022","20-29","Black","South East (England)","105","105","28020","27980"
"In post","2022","20-29","Black","South West (England)","50","50","26890","26590"
"In post","2022","20-29","Black","Unknown","15","15","[c]","[c]"
"In post","2022","20-29","Black","Wales","35","35","26060","25860"
"In post","2022","20-29","Black","West Midlands (England)","175","170","26560","26590"
"In post","2022","20-29","Black","Yorkshire and The Humber","85","85","26510","25480"
"In post","2022","20-29","Mixed","East Midlands (England)","105","105","25520","24770"
"In post","2022","20-29","Mixed","East of England","100","95","27150","27570"
"In post","2022","20-29","Mixed","London","1090","1075","36250","33570"
"In post","2022","20-29","Mixed","North East (England)","60","60","25590","24430"
"In post","2022","20-29","Mixed","North West (England)","205","200","26260","24880"
"In post","2022","20-29","Mixed","Northern Ireland","10","10","[c]","[c]"
"In post","2022","20-29","Mixed","Overseas","20","20","[c]","[c]"
"In post","2022","20-29","Mixed","Scotland","55","55","27990","27230"
"In post","2022","20-29","Mixed","South East (England)","175","175","28040","27530"
"In post","2022","20-29","Mixed","South West (England)","165","160","28150","27570"
"In post","2022","20-29","Mixed","Unknown","10","10","[c]","[c]"
"In post","2022","20-29","Mixed","Wales","100","100","26620","25490"
"In post","2022","20-29","Mixed","West Midlands (England)","195","190","27200","26460"
"In post","2022","20-29","Mixed","Yorkshire and The Humber","145","145","27440","26610"
"In post","2022","20-29","Other ethnicity","East Midlands (England)","10","10","[c]","[c]"
"In post","2022","20-29","Other ethnicity","East of England","15","15","[c]","[c]"
"In post","2022","20-29","Other ethnicity","London","310","305","34820","31940"
"In post","2022","20-29","Other ethnicity","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","North West (England)","25","25","[c]","[c]"
"In post","2022","20-29","Other ethnicity","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","Overseas","5","5","[c]","[c]"
"In post","2022","20-29","Other ethnicity","Scotland","20","20","[c]","[c]"
"In post","2022","20-29","Other ethnicity","South East (England)","35","35","27700","27570"
"In post","2022","20-29","Other ethnicity","South West (England)","20","20","[c]","[c]"
"In post","2022","20-29","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","Wales","15","15","[c]","[c]"
"In post","2022","20-29","Other ethnicity","West Midlands (England)","35","35","25090","23170"
"In post","2022","20-29","Other ethnicity","Yorkshire and The Humber","25","25","[c]","[c]"
"In post","2022","20-29","Undeclared","East Midlands (England)","55","55","28390","27130"
"In post","2022","20-29","Undeclared","East of England","45","45","27840","27930"
"In post","2022","20-29","Undeclared","London","410","405","37290","34550"
"In post","2022","20-29","Undeclared","North East (England)","45","45","32970","29430"
"In post","2022","20-29","Undeclared","North West (England)","105","105","28040","27570"
"In post","2022","20-29","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Overseas","20","20","[c]","[c]"
"In post","2022","20-29","Undeclared","Scotland","70","65","29660","27570"
"In post","2022","20-29","Undeclared","South East (England)","110","110","30600","29230"
"In post","2022","20-29","Undeclared","South West (England)","195","190","29660","29180"
"In post","2022","20-29","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Wales","95","95","27430","25840"
"In post","2022","20-29","Undeclared","West Midlands (England)","80","80","27930","27120"
"In post","2022","20-29","Undeclared","Yorkshire and The Humber","100","100","28110","26710"
"In post","2022","20-29","Unknown","East Midlands (England)","800","780","25270","24520"
"In post","2022","20-29","Unknown","East of England","615","605","25760","24880"
"In post","2022","20-29","Unknown","London","6305","6275","35420","32560"
"In post","2022","20-29","Unknown","North East (England)","1200","1175","25590","24570"
"In post","2022","20-29","Unknown","North West (England)","2415","2375","25920","24880"
"In post","2022","20-29","Unknown","Northern Ireland","220","210","23900","21250"
"In post","2022","20-29","Unknown","Overseas","55","55","37880","38240"
"In post","2022","20-29","Unknown","Scotland","2460","2410","26460","24610"
"In post","2022","20-29","Unknown","South East (England)","1165","1145","26660","26030"
"In post","2022","20-29","Unknown","South West (England)","1145","1130","27070","26030"
"In post","2022","20-29","Unknown","Unknown","610","605","29100","28980"
"In post","2022","20-29","Unknown","Wales","1295","1270","25600","23880"
"In post","2022","20-29","Unknown","West Midlands (England)","1185","1160","25560","24430"
"In post","2022","20-29","Unknown","Yorkshire and The Humber","1800","1770","26390","24880"
"In post","2022","20-29","White","East Midlands (England)","2105","2070","26450","25700"
"In post","2022","20-29","White","East of England","2000","1980","26920","26350"
"In post","2022","20-29","White","London","11370","11315","38540","35260"
"In post","2022","20-29","White","North East (England)","3135","3075","26520","25700"
"In post","2022","20-29","White","North West (England)","6085","5995","26890","25480"
"In post","2022","20-29","White","Northern Ireland","325","315","26360","26590"
"In post","2022","20-29","White","Overseas","205","205","34710","33230"
"In post","2022","20-29","White","Scotland","4790","4720","28050","27230"
"In post","2022","20-29","White","South East (England)","4075","4020","27790","27260"
"In post","2022","20-29","White","South West (England)","5590","5525","27820","27130"
"In post","2022","20-29","White","Unknown","140","140","30140","28000"
"In post","2022","20-29","White","Wales","3825","3750","26610","25210"
"In post","2022","20-29","White","West Midlands (England)","2445","2405","26940","25610"
"In post","2022","20-29","White","Yorkshire and The Humber","3650","3600","27950","26590"
"In post","2022","30-39","Asian","East Midlands (England)","460","425","28460","27370"
"In post","2022","30-39","Asian","East of England","300","275","30340","27570"
"In post","2022","30-39","Asian","London","3680","3545","40650","36650"
"In post","2022","30-39","Asian","North East (England)","210","195","30410","27570"
"In post","2022","30-39","Asian","North West (England)","1035","975","29710","27570"
"In post","2022","30-39","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Asian","Overseas","55","55","45880","41610"
"In post","2022","30-39","Asian","Scotland","255","245","31860","27570"
"In post","2022","30-39","Asian","South East (England)","330","305","30710","28800"
"In post","2022","30-39","Asian","South West (England)","280","265","35930","33370"
"In post","2022","30-39","Asian","Unknown","25","25","[c]","[c]"
"In post","2022","30-39","Asian","Wales","215","205","30120","27470"
"In post","2022","30-39","Asian","West Midlands (England)","1470","1385","28920","27570"
"In post","2022","30-39","Asian","Yorkshire and The Humber","905","835","29100","27570"
"In post","2022","30-39","Black","East Midlands (England)","135","130","28030","26820"
"In post","2022","30-39","Black","East of England","125","120","29980","29290"
"In post","2022","30-39","Black","London","1905","1855","36290","33520"
"In post","2022","30-39","Black","North East (England)","45","45","27860","26590"
"In post","2022","30-39","Black","North West (England)","280","270","30390","27570"
"In post","2022","30-39","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Black","Overseas","15","15","[c]","[c]"
"In post","2022","30-39","Black","Scotland","95","95","28050","24890"
"In post","2022","30-39","Black","South East (England)","185","175","30970","29290"
"In post","2022","30-39","Black","South West (England)","180","180","33220","32250"
"In post","2022","30-39","Black","Unknown","10","10","[c]","[c]"
"In post","2022","30-39","Black","Wales","65","60","28960","27570"
"In post","2022","30-39","Black","West Midlands (England)","345","325","28930","27570"
"In post","2022","30-39","Black","Yorkshire and The Humber","135","130","28750","27570"
"In post","2022","30-39","Mixed","East Midlands (England)","125","120","30400","26950"
"In post","2022","30-39","Mixed","East of England","100","95","29390","28310"
"In post","2022","30-39","Mixed","London","1060","1030","44580","41500"
"In post","2022","30-39","Mixed","North East (England)","75","75","29600","27470"
"In post","2022","30-39","Mixed","North West (England)","230","225","31020","27570"
"In post","2022","30-39","Mixed","Northern Ireland","10","5","[c]","[c]"
"In post","2022","30-39","Mixed","Overseas","40","40","46440","48700"
"In post","2022","30-39","Mixed","Scotland","110","110","34870","31540"
"In post","2022","30-39","Mixed","South East (England)","180","170","32240","29290"
"In post","2022","30-39","Mixed","South West (England)","185","175","34520","32880"
"In post","2022","30-39","Mixed","Unknown","10","10","[c]","[c]"
"In post","2022","30-39","Mixed","Wales","140","135","33040","30970"
"In post","2022","30-39","Mixed","West Midlands (England)","190","175","29530","27570"
"In post","2022","30-39","Mixed","Yorkshire and The Humber","150","145","31840","27570"
"In post","2022","30-39","Other ethnicity","East Midlands (England)","10","10","[c]","[c]"
"In post","2022","30-39","Other ethnicity","East of England","25","25","[c]","[c]"
"In post","2022","30-39","Other ethnicity","London","330","320","43320","39130"
"In post","2022","30-39","Other ethnicity","North East (England)","10","10","[c]","[c]"
"In post","2022","30-39","Other ethnicity","North West (England)","40","35","31660","27570"
"In post","2022","30-39","Other ethnicity","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Other ethnicity","Overseas","10","10","[c]","[c]"
"In post","2022","30-39","Other ethnicity","Scotland","25","25","[c]","[c]"
"In post","2022","30-39","Other ethnicity","South East (England)","35","30","30700","27570"
"In post","2022","30-39","Other ethnicity","South West (England)","40","40","33330","30190"
"In post","2022","30-39","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Other ethnicity","Wales","25","25","[c]","[c]"
"In post","2022","30-39","Other ethnicity","West Midlands (England)","40","40","31580","27570"
"In post","2022","30-39","Other ethnicity","Yorkshire and The Humber","30","30","[c]","[c]"
"In post","2022","30-39","Undeclared","East Midlands (England)","130","125","30810","27970"
"In post","2022","30-39","Undeclared","East of England","145","135","31660","30730"
"In post","2022","30-39","Undeclared","London","850","825","45740","41970"
"In post","2022","30-39","Undeclared","North East (England)","155","150","31700","27570"
"In post","2022","30-39","Undeclared","North West (England)","340","330","31770","27570"
"In post","2022","30-39","Undeclared","Northern Ireland","20","20","[c]","[c]"
"In post","2022","30-39","Undeclared","Overseas","65","65","46450","43840"
"In post","2022","30-39","Undeclared","Scotland","285","275","34210","32170"
"In post","2022","30-39","Undeclared","South East (England)","320","310","34810","33210"
"In post","2022","30-39","Undeclared","South West (England)","425","415","36240","36160"
"In post","2022","30-39","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Wales","260","245","31090","27570"
"In post","2022","30-39","Undeclared","West Midlands (England)","210","200","30780","27570"
"In post","2022","30-39","Undeclared","Yorkshire and The Humber","240","225","31660","27930"
"In post","2022","30-39","Unknown","East Midlands (England)","735","690","28490","26780"
"In post","2022","30-39","Unknown","East of England","515","490","29670","26670"
"In post","2022","30-39","Unknown","London","4400","4300","46290","42470"
"In post","2022","30-39","Unknown","North East (England)","1225","1155","29010","26820"
"In post","2022","30-39","Unknown","North West (England)","2320","2205","29490","26820"
"In post","2022","30-39","Unknown","Northern Ireland","270","265","27430","24880"
"In post","2022","30-39","Unknown","Overseas","185","185","49180","51500"
"In post","2022","30-39","Unknown","Scotland","2915","2800","31670","29250"
"In post","2022","30-39","Unknown","South East (England)","1020","970","31260","28680"
"In post","2022","30-39","Unknown","South West (England)","1145","1080","32450","29230"
"In post","2022","30-39","Unknown","Unknown","485","480","37530","34170"
"In post","2022","30-39","Unknown","Wales","1395","1310","29700","26820"
"In post","2022","30-39","Unknown","West Midlands (England)","1115","1060","29490","26820"
"In post","2022","30-39","Unknown","Yorkshire and The Humber","1430","1360","31300","27570"
"In post","2022","30-39","White","East Midlands (England)","3030","2860","30630","27570"
"In post","2022","30-39","White","East of England","2990","2815","31100","29290"
"In post","2022","30-39","White","London","12985","12615","49450","51730"
"In post","2022","30-39","White","North East (England)","5200","4870","30170","27570"
"In post","2022","30-39","White","North West (England)","9460","8990","30840","27570"
"In post","2022","30-39","White","Northern Ireland","700","670","31010","26830"
"In post","2022","30-39","White","Overseas","670","665","46230","49370"
"In post","2022","30-39","White","Scotland","7950","7620","34220","31540"
"In post","2022","30-39","White","South East (England)","5720","5405","32200","30210"
"In post","2022","30-39","White","South West (England)","7790","7355","34610","33040"
"In post","2022","30-39","White","Unknown","130","125","35260","30820"
"In post","2022","30-39","White","Wales","7105","6690","31180","27570"
"In post","2022","30-39","White","West Midlands (England)","3700","3510","31540","27570"
"In post","2022","30-39","White","Yorkshire and The Humber","5520","5185","32830","30090"
"In post","2022","40-49","Asian","East Midlands (England)","510","455","29810","27470"
"In post","2022","40-49","Asian","East of England","345","310","31430","27570"
"In post","2022","40-49","Asian","London","3885","3650","40980","35200"
"In post","2022","40-49","Asian","North East (England)","150","140","33020","27570"
"In post","2022","40-49","Asian","North West (England)","900","800","29910","27570"
"In post","2022","40-49","Asian","Northern Ireland","5","5","[c]","[c]"
"In post","2022","40-49","Asian","Overseas","65","65","49090","52410"
"In post","2022","40-49","Asian","Scotland","210","195","36190","29840"
"In post","2022","40-49","Asian","South East (England)","430","385","32000","29020"
"In post","2022","40-49","Asian","South West (England)","240","225","38090","33370"
"In post","2022","40-49","Asian","Unknown","30","25","30360","27570"
"In post","2022","40-49","Asian","Wales","140","130","34680","27570"
"In post","2022","40-49","Asian","West Midlands (England)","1335","1230","30400","27570"
"In post","2022","40-49","Asian","Yorkshire and The Humber","755","675","30960","27570"
"In post","2022","40-49","Black","East Midlands (England)","140","130","27820","26820"
"In post","2022","40-49","Black","East of England","135","125","32150","29290"
"In post","2022","40-49","Black","London","2170","2080","37300","33570"
"In post","2022","40-49","Black","North East (England)","65","60","29760","27570"
"In post","2022","40-49","Black","North West (England)","240","235","29880","27570"
"In post","2022","40-49","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Black","Overseas","30","30","46220","42890"
"In post","2022","40-49","Black","Scotland","140","135","33790","27570"
"In post","2022","40-49","Black","South East (England)","235","225","31450","29290"
"In post","2022","40-49","Black","South West (England)","170","165","34490","33300"
"In post","2022","40-49","Black","Unknown","10","10","[c]","[c]"
"In post","2022","40-49","Black","Wales","75","70","31080","27570"
"In post","2022","40-49","Black","West Midlands (England)","285","270","31030","27570"
"In post","2022","40-49","Black","Yorkshire and The Humber","155","150","31350","27570"
"In post","2022","40-49","Mixed","East Midlands (England)","100","90","33380","28320"
