"Status","Year","Ethnicity","Organisation","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Accountant in Bankruptcy","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","London","London","25","25","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","North West (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","London","London","10","10","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","North West (England)","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","South East (England)","Outside London","40","35","31260","29010"
"In post","2022","Asian","Animal and Plant Health Agency","South West (England)","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Wales","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Yorkshire and The Humber","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","London","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","London","London","435","425","47140","41820"
"In post","2022","Asian","Cabinet Office (excl. agencies)","North East (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","North West (England)","Outside London","15","15","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Scotland","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","South East (England)","Outside London","10","5","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Unknown","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","West Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Outside London","15","15","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","London","London","5","5","[c]","[c]"
"In post","2022","Asian","Charity Commission","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","London","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Wales","Outside London","25","25","[c]","[c]"
"In post","2022","Asian","Companies House","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","London","London","110","110","48930","42290"
"In post","2022","Asian","Competition and Markets Authority","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","Scotland","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","London","London","10","10","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","North West (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","West Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","Scotland","Outside London","60","55","38030","35540"
"In post","2022","Asian","Crown Prosecution Service","East Midlands (England)","Outside London","60","55","35890","28430"
"In post","2022","Asian","Crown Prosecution Service","East of England","Outside London","40","35","44840","48080"
"In post","2022","Asian","Crown Prosecution Service","London","London","340","315","40930","32080"
"In post","2022","Asian","Crown Prosecution Service","North East (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","North West (England)","Outside London","45","40","41780","48080"
"In post","2022","Asian","Crown Prosecution Service","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","South East (England)","Outside London","35","30","42410","40000"
"In post","2022","Asian","Crown Prosecution Service","South West (England)","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","West Midlands (England)","Outside London","115","110","37530","38000"
"In post","2022","Asian","Crown Prosecution Service","Yorkshire and The Humber","Outside London","50","45","41290","48080"
"In post","2022","Asian","Defence Electronics and Components Agency","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","London","London","50","45","23290","20260"
"In post","2022","Asian","Defence Equipment and Support","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Scotland","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","South West (England)","Outside London","275","270","35700","33000"
"In post","2022","Asian","Defence Equipment and Support","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","London","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","South East (England)","Outside London","25","25","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","South West (England)","Outside London","40","35","44670","39940"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","London","555","550","44620","40050"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","North West (England)","Outside London","15","15","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands (England)","Outside London","45","45","35550","30360"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","London","London","145","145","44740","39020"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","North West (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","East Midlands (England)","Outside London","15","15","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","East of England","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","London","London","230","220","44420","40510"
"In post","2022","Asian","Department for Education (excl. agencies)","North East (England)","Outside London","15","10","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","North West (England)","Outside London","85","85","35310","30320"
"In post","2022","Asian","Department for Education (excl. agencies)","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","South West (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","West Midlands (England)","Outside London","145","145","38370","36500"
"In post","2022","Asian","Department for Education (excl. agencies)","Yorkshire and The Humber","Outside London","65","65","36790","32590"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","East Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","London","London","220","215","40200","35200"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","North West (England)","Outside London","15","15","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","South East (England)","Outside London","20","20","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","South West (England)","Outside London","25","25","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","West Midlands (England)","Outside London","20","20","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Yorkshire and The Humber","Outside London","15","15","[c]","[c]"
"In post","2022","Asian","Department for International Trade","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","London","London","255","250","43900","38540"
"In post","2022","Asian","Department for International Trade","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Overseas","Overseas","10","10","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","London","London","210","205","44240","39600"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","North West (England)","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Scotland","Outside London","[c]","[c]","[c]","[c]"
