"Status","Year","Disability","Ethnicity","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","Analysis","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Department for Work and Pensions","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","HM Revenue and Customs","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Ministry of Justice","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
