"Status","Year","Disability","Ethnicity","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","Commercial","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","HM Revenue and Customs","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","Department for Work and Pensions","80","70","27930","27570"
"In post","2022","Declared disabled","Asian","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","HM Revenue and Customs","50","45","33960","31020"
"In post","2022","Declared disabled","Asian","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Debt","Department for Work and Pensions","30","25","23820","21260"
"In post","2022","Declared disabled","Asian","Debt","HM Revenue and Customs","35","30","24380","22080"
"In post","2022","Declared disabled","Asian","Debt","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Debt","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Cabinet Office","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Department for Education","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Department for Work and Pensions","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","HM Revenue and Customs","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Ministry of Defence","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Ministry of Justice","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Department for Education","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Department for Work and Pensions","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Department of Health and Social Care","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","HM Revenue and Customs","10","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Ministry of Defence","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Ministry of Justice","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Grants Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Grants Management","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Cabinet Office","20","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Department for Work and Pensions","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","HM Revenue and Customs","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Ministry of Justice","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","Attorney General's Departments","85","75","41870","39540"
"In post","2022","Declared disabled","Asian","Legal","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","HM Revenue and Customs","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","No function","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","No function","Cabinet Office","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","No function","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","No function","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","No function","Department for Business, Energy and Industrial Strategy","75","70","40380","35080"
"In post","2022","Declared disabled","Asian","No function","Department for Digital, Culture, Media and Sport","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","No function","Department for Education","35","30","38100","36500"
"In post","2022","Declared disabled","Asian","No function","Department for Environment, Food and Rural Affairs","40","35","34790","32970"
"In post","2022","Declared disabled","Asian","No function","Department for International Trade","10","10","[c]","[c]"
