"Status","Year","Parent_department","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","180","165","43580","40000"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","130","120","42750","39750"
"In post","2022","Attorney General's Departments","Cheshire","30","25","49490","54790"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","30","30","38220","33270"
"In post","2022","Attorney General's Departments","Cumbria","40","35","38360","32880"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","315","295","38360","33310"
"In post","2022","Attorney General's Departments","Devon","105","100","39890","38000"
"In post","2022","Attorney General's Departments","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Anglia","125","115","37280","28430"
"In post","2022","Attorney General's Departments","East Wales","310","285","40460","38180"
"In post","2022","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","80","70","39880","38540"
"In post","2022","Attorney General's Departments","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Essex","205","190","42230","40000"
"In post","2022","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","225","210","43930","48080"
"In post","2022","Attorney General's Departments","Greater Manchester","380","350","40560","38000"
"In post","2022","Attorney General's Departments","Hampshire and Isle of Wight","270","250","43170","39750"
"In post","2022","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","10","10","47860","51470"
"In post","2022","Attorney General's Departments","Inner London - East","25","25","35170","24590"
"In post","2022","Attorney General's Departments","Inner London - West","4665","4390","50280","51250"
"In post","2022","Attorney General's Departments","Kent","140","130","39790","30110"
"In post","2022","Attorney General's Departments","Lancashire","180","170","40070","38000"
"In post","2022","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","155","140","40100","48080"
"In post","2022","Attorney General's Departments","Lincolnshire","20","15","46930","55610"
"In post","2022","Attorney General's Departments","Merseyside","385","365","37370","30130"
"In post","2022","Attorney General's Departments","North Yorkshire","175","165","42140","38180"
"In post","2022","Attorney General's Departments","Northumberland, and Tyne and Wear","260","240","39310","34480"
"In post","2022","Attorney General's Departments","Outer London - East and North East","25","25","35590","24590"
"In post","2022","Attorney General's Departments","Outer London - South","65","60","36770","31180"
"In post","2022","Attorney General's Departments","Outer London - West and North West","25","25","37960","24590"
"In post","2022","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Shropshire and Staffordshire","70","70","43190","48080"
"In post","2022","Attorney General's Departments","South Yorkshire","140","130","35580","28430"
"In post","2022","Attorney General's Departments","Surrey, East and West Sussex","200","185","43390","40000"
"In post","2022","Attorney General's Departments","Tees Valley and Durham","100","85","39070","32370"
"In post","2022","Attorney General's Departments","West Midlands","505","475","40380","38000"
"In post","2022","Attorney General's Departments","West Wales and The Valleys","85","80","42230","48080"
"In post","2022","Attorney General's Departments","West Yorkshire","540","505","42130","43920"
"In post","2022","Cabinet Office","Bedfordshire and Hertfordshire","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","140","135","38160","33300"
"In post","2022","Cabinet Office","Cheshire","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Cumbria","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Derbyshire and Nottinghamshire","60","60","52960","51560"
"In post","2022","Cabinet Office","Devon","10","10","[c]","[c]"
"In post","2022","Cabinet Office","Dorset and Somerset","10","10","37040","33630"
"In post","2022","Cabinet Office","East Anglia","250","240","43270","38980"
"In post","2022","Cabinet Office","East Wales","200","195","38220","32440"
"In post","2022","Cabinet Office","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Eastern Scotland","30","30","35080","32000"
"In post","2022","Cabinet Office","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Gloucestershire, Wiltshire and Bath/Bristol area","265","260","55000","50000"
"In post","2022","Cabinet Office","Greater Manchester","415","410","45390","38990"
"In post","2022","Cabinet Office","Hampshire and Isle of Wight","90","90","55600","52510"
"In post","2022","Cabinet Office","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Inner London - East","1100","1080","52590","54700"
"In post","2022","Cabinet Office","Inner London - West","5475","5410","49680","41480"
"In post","2022","Cabinet Office","Kent","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Lancashire","40","40","54750","49700"
"In post","2022","Cabinet Office","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Merseyside","485","475","40700","38330"
"In post","2022","Cabinet Office","North Yorkshire","560","535","32970","32000"
"In post","2022","Cabinet Office","Northern Ireland","10","10","31770","32000"
"In post","2022","Cabinet Office","Northumberland, and Tyne and Wear","465","435","29540","25550"
"In post","2022","Cabinet Office","Outer London - South","25","25","62450","65000"
"In post","2022","Cabinet Office","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Shropshire and Staffordshire","25","25","68760","65000"
"In post","2022","Cabinet Office","South Yorkshire","85","80","50370","49700"
"In post","2022","Cabinet Office","Southern Scotland","10","10","71650","68000"
"In post","2022","Cabinet Office","Surrey, East and West Sussex","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Tees Valley and Durham","15","15","62840","62010"
"In post","2022","Cabinet Office","Unknown","475","475","37420","32000"
"In post","2022","Cabinet Office","West Central Scotland","255","250","42670","33720"
"In post","2022","Cabinet Office","West Midlands","230","225","50880","39080"
"In post","2022","Cabinet Office","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","West Yorkshire","280","270","47680","44850"
"In post","2022","Chancellor's other departments","Eastern Scotland","10","10","73790","69690"
"In post","2022","Chancellor's other departments","Inner London - West","360","340","60480","53090"
"In post","2022","Chancellor's other departments","Lancashire","20","20","43160","40290"
"In post","2022","Chancellor's other departments","Tees Valley and Durham","20","20","47120","47870"
"In post","2022","Chancellor's other departments","West Central Scotland","15","15","42130","41310"
"In post","2022","Charity Commission","Dorset and Somerset","35","35","31780","29540"
"In post","2022","Charity Commission","East Wales","5","5","[c]","[c]"
"In post","2022","Charity Commission","Inner London - West","80","80","44120","37910"
"In post","2022","Charity Commission","Merseyside","345","325","31850","29160"
"In post","2022","Competition and Markets Authority","East Wales","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Eastern Scotland","55","55","58200","55860"
"In post","2022","Competition and Markets Authority","Inner London - East","795","770","61480","57060"
"In post","2022","Competition and Markets Authority","Northern Ireland","10","10","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Bedfordshire and Hertfordshire","45","45","39910","38510"
"In post","2022","Department for Business, Energy and Industrial Strategy","Berkshire, Buckinghamshire and Oxfordshire","95","85","39180","37080"
"In post","2022","Department for Business, Energy and Industrial Strategy","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Derbyshire and Nottinghamshire","195","185","30850","30930"
"In post","2022","Department for Business, Energy and Industrial Strategy","Devon","1865","1775","39910","39650"
"In post","2022","Department for Business, Energy and Industrial Strategy","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","East Anglia","140","130","31800","30930"
"In post","2022","Department for Business, Energy and Industrial Strategy","East Wales","2980","2790","35020","30650"
"In post","2022","Department for Business, Energy and Industrial Strategy","Eastern Scotland","160","155","30430","24620"
"In post","2022","Department for Business, Energy and Industrial Strategy","Essex","30","25","33210","31530"
"In post","2022","Department for Business, Energy and Industrial Strategy","Gloucestershire, Wiltshire and Bath/Bristol area","225","220","40930","37400"
"In post","2022","Department for Business, Energy and Industrial Strategy","Greater Manchester","560","545","36140","34390"
"In post","2022","Department for Business, Energy and Industrial Strategy","Hampshire and Isle of Wight","85","80","34670","34790"
"In post","2022","Department for Business, Energy and Industrial Strategy","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Highlands and Islands","20","20","31860","32730"
"In post","2022","Department for Business, Energy and Industrial Strategy","Inner London - East","230","220","42530","39380"
"In post","2022","Department for Business, Energy and Industrial Strategy","Inner London - West","5545","5430","49450","52080"
"In post","2022","Department for Business, Energy and Industrial Strategy","Kent","55","55","28230","26000"
"In post","2022","Department for Business, Energy and Industrial Strategy","Lancashire","45","40","34900","33270"
"In post","2022","Department for Business, Energy and Industrial Strategy","Lincolnshire","35","35","33920","33050"
"In post","2022","Department for Business, Energy and Industrial Strategy","Merseyside","50","50","34420","34190"
"In post","2022","Department for Business, Energy and Industrial Strategy","North Eastern Scotland","140","135","46810","37990"
"In post","2022","Department for Business, Energy and Industrial Strategy","North Yorkshire","10","10","33450","32730"
"In post","2022","Department for Business, Energy and Industrial Strategy","Northern Ireland","45","45","30500","31150"
"In post","2022","Department for Business, Energy and Industrial Strategy","Northumberland, and Tyne and Wear","215","200","32230","30950"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outer London - South","65","60","34240","28670"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outer London - West and North West","115","115","41430","39700"
"In post","2022","Department for Business, Energy and Industrial Strategy","Overseas","30","30","36040","37420"
"In post","2022","Department for Business, Energy and Industrial Strategy","Shropshire and Staffordshire","10","10","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","South Yorkshire","5","5","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Surrey, East and West Sussex","25","20","36050","36190"
"In post","2022","Department for Business, Energy and Industrial Strategy","Tees Valley and Durham","10","10","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","West Central Scotland","95","85","31950","30950"
"In post","2022","Department for Business, Energy and Industrial Strategy","West Midlands","720","685","34930","30950"
"In post","2022","Department for Business, Energy and Industrial Strategy","West Wales and The Valleys","20","15","33910","34500"
"In post","2022","Department for Business, Energy and Industrial Strategy","West Yorkshire","190","180","32650","30950"
"In post","2022","Department for Digital, Culture, Media and Sport","Derbyshire and Nottinghamshire","10","10","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","East Wales","15","15","46060","47070"
"In post","2022","Department for Digital, Culture, Media and Sport","Eastern Scotland","15","15","35570","34020"
"In post","2022","Department for Digital, Culture, Media and Sport","Gloucestershire, Wiltshire and Bath/Bristol area","15","15","45280","47070"
"In post","2022","Department for Digital, Culture, Media and Sport","Greater Manchester","110","110","41700","34960"
"In post","2022","Department for Digital, Culture, Media and Sport","Inner London - West","1785","1755","47680","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","Merseyside","10","10","38430","34020"
"In post","2022","Department for Digital, Culture, Media and Sport","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Northumberland, and Tyne and Wear","20","20","39160","34020"
"In post","2022","Department for Digital, Culture, Media and Sport","West Central Scotland","10","10","43130","34020"
"In post","2022","Department for Digital, Culture, Media and Sport","West Midlands","10","10","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","West Yorkshire","15","15","42040","38020"
"In post","2022","Department for Education","Bedfordshire and Hertfordshire","35","30","49280","46310"
"In post","2022","Department for Education","Berkshire, Buckinghamshire and Oxfordshire","5","5","[c]","[c]"
"In post","2022","Department for Education","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Department for Education","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Department for Education","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Department for Education","Derbyshire and Nottinghamshire","355","340","41380","37100"
"In post","2022","Department for Education","Devon","10","10","56510","61820"
"In post","2022","Department for Education","Dorset and Somerset","10","10","63240","63520"
"In post","2022","Department for Education","East Anglia","45","45","47420","50630"
"In post","2022","Department for Education","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Department for Education","East Yorkshire and Northern Lincolnshire","15","15","54880","61350"
"In post","2022","Department for Education","Eastern Scotland","5","5","[c]","[c]"
"In post","2022","Department for Education","Essex","5","5","[c]","[c]"
"In post","2022","Department for Education","Gloucestershire, Wiltshire and Bath/Bristol area","320","310","42570","37100"
"In post","2022","Department for Education","Greater Manchester","1245","1215","40100","36500"
"In post","2022","Department for Education","Hampshire and Isle of Wight","5","5","[c]","[c]"
"In post","2022","Department for Education","Herefordshire, Worcestershire and Warwickshire","10","10","54320","50130"
"In post","2022","Department for Education","Inner London - East","10","10","[c]","[c]"
"In post","2022","Department for Education","Inner London - West","2445","2350","50270","53420"
"In post","2022","Department for Education","Kent","10","10","56910","57710"
"In post","2022","Department for Education","Lancashire","10","10","51530","50400"
"In post","2022","Department for Education","Leicestershire, Rutland and Northamptonshire","10","10","[c]","[c]"
"In post","2022","Department for Education","Lincolnshire","5","5","[c]","[c]"
"In post","2022","Department for Education","Merseyside","15","15","59070","61650"
"In post","2022","Department for Education","North Yorkshire","10","10","54400","55820"
"In post","2022","Department for Education","Northumberland, and Tyne and Wear","130","125","39050","36500"
"In post","2022","Department for Education","Outer London - East and North East","15","15","50930","54160"
"In post","2022","Department for Education","Outer London - South","60","60","48410","40650"
"In post","2022","Department for Education","Outer London - West and North West","10","10","[c]","[c]"
"In post","2022","Department for Education","Overseas","[c]","[c]","[c]","[c]"
