"Status","Year","Function_of_post","Region_ITL1","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","East Midlands (England)","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","SEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","East of England","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","AO","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","East of England","EO","Heterosexual / straight","30","30","25450","25240"
"In post","2022","Analysis","East of England","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","EO","Unknown","30","30","25400","25010"
"In post","2022","Analysis","East of England","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","East of England","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","G6","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","East of England","G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Analysis","East of England","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","G7","Unknown","30","30","49710","48080"
"In post","2022","Analysis","East of England","HEO","Heterosexual / straight","35","30","30780","29270"
"In post","2022","Analysis","East of England","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","HEO","Undeclared","10","5","[c]","[c]"
"In post","2022","Analysis","East of England","HEO","Unknown","60","55","29880","29750"
"In post","2022","Analysis","East of England","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","SEO","Heterosexual / straight","40","40","38360","36930"
"In post","2022","Analysis","East of England","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","SEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","East of England","SEO","Unknown","55","55","37490","37280"
"In post","2022","Analysis","London","AO","Heterosexual / straight","45","45","24490","25000"
"In post","2022","Analysis","London","AO","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","London","AO","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","London","AO","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","London","EO","Heterosexual / straight","205","200","28980","28400"
"In post","2022","Analysis","London","EO","LGBO","20","20","[c]","[c]"
"In post","2022","Analysis","London","EO","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","London","EO","Unknown","65","65","28750","28310"
"In post","2022","Analysis","London","G6","Heterosexual / straight","355","335","75140","70820"
"In post","2022","Analysis","London","G6","LGBO","25","25","[c]","[c]"
"In post","2022","Analysis","London","G6","Undeclared","55","50","74890","70180"
"In post","2022","Analysis","London","G6","Unknown","35","35","74470","70930"
"In post","2022","Analysis","London","G7","Heterosexual / straight","785","755","57240","56730"
"In post","2022","Analysis","London","G7","LGBO","85","80","56750","55070"
"In post","2022","Analysis","London","G7","Undeclared","135","130","56770","54960"
"In post","2022","Analysis","London","G7","Unknown","140","135","57540","55880"
"In post","2022","Analysis","London","HEO","Heterosexual / straight","715","705","35470","35000"
"In post","2022","Analysis","London","HEO","LGBO","85","85","35290","34710"
"In post","2022","Analysis","London","HEO","Undeclared","90","90","35770","34850"
"In post","2022","Analysis","London","HEO","Unknown","150","150","35370","34710"
"In post","2022","Analysis","London","SCS level","Heterosexual / straight","105","105","91650","81770"
"In post","2022","Analysis","London","SCS level","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","London","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","London","SCS level","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","London","SEO","Heterosexual / straight","415","405","43480","42890"
"In post","2022","Analysis","London","SEO","LGBO","40","40","43610","43400"
"In post","2022","Analysis","London","SEO","Undeclared","60","55","43180","41940"
"In post","2022","Analysis","London","SEO","Unknown","75","75","43930","42890"
"In post","2022","Analysis","North East (England)","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","North East (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","North East (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","North East (England)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","G7","Heterosexual / straight","40","35","53360","52150"
"In post","2022","Analysis","North East (England)","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","G7","Unknown","10","5","[c]","[c]"
"In post","2022","Analysis","North East (England)","HEO","Heterosexual / straight","45","40","32110","31900"
"In post","2022","Analysis","North East (England)","HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","North East (England)","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","HEO","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","North East (England)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","SEO","Heterosexual / straight","30","30","37670","36780"
"In post","2022","Analysis","North East (England)","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","SEO","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","North West (England)","AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","North West (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North West (England)","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North West (England)","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Analysis","North West (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North West (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North West (England)","EO","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","North West (England)","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","North West (England)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North West (England)","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North West (England)","G7","Heterosexual / straight","80","75","54100","55210"
"In post","2022","Analysis","North West (England)","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North West (England)","G7","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","North West (England)","G7","Unknown","10","5","[c]","[c]"
"In post","2022","Analysis","North West (England)","HEO","Heterosexual / straight","120","115","33080","33210"
"In post","2022","Analysis","North West (England)","HEO","LGBO","25","25","[c]","[c]"
"In post","2022","Analysis","North West (England)","HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","North West (England)","HEO","Unknown","25","25","[c]","[c]"
"In post","2022","Analysis","North West (England)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North West (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North West (England)","SEO","Heterosexual / straight","80","75","39970","40520"
"In post","2022","Analysis","North West (England)","SEO","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","North West (England)","SEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","North West (England)","SEO","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Northern Ireland","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Northern Ireland","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","Scotland","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Scotland","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","Scotland","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Scotland","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","HEO","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Scotland","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","SEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Analysis","Scotland","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","SEO","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","South East (England)","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South East (England)","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South East (England)","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","South East (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South East (England)","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South East (England)","AO","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","South East (England)","EO","Heterosexual / straight","50","50","25920","24510"
"In post","2022","Analysis","South East (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South East (England)","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","South East (England)","EO","Unknown","20","15","[c]","[c]"
"In post","2022","Analysis","South East (England)","G6","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Analysis","South East (England)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South East (England)","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South East (England)","G7","Heterosexual / straight","115","110","51200","50210"
"In post","2022","Analysis","South East (England)","G7","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","South East (England)","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South East (England)","G7","Unknown","150","140","50830","47060"
"In post","2022","Analysis","South East (England)","HEO","Heterosexual / straight","170","165","30970","30710"
"In post","2022","Analysis","South East (England)","HEO","LGBO","25","20","[c]","[c]"
"In post","2022","Analysis","South East (England)","HEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","South East (England)","HEO","Unknown","100","95","30720","30210"
"In post","2022","Analysis","South East (England)","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","South East (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South East (England)","SEO","Heterosexual / straight","150","140","38600","38340"
"In post","2022","Analysis","South East (England)","SEO","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","South East (England)","SEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","South East (England)","SEO","Unknown","100","95","39250","38070"
"In post","2022","Analysis","South West (England)","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South West (England)","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South West (England)","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","South West (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South West (England)","AO","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","South West (England)","EO","Heterosexual / straight","50","45","26370","26130"
"In post","2022","Analysis","South West (England)","EO","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","South West (England)","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","South West (England)","EO","Unknown","30","25","[c]","[c]"
"In post","2022","Analysis","South West (England)","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","South West (England)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South West (England)","G6","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","South West (England)","G7","Heterosexual / straight","45","45","54820","56580"
"In post","2022","Analysis","South West (England)","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South West (England)","G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","South West (England)","G7","Unknown","30","30","[c]","[c]"
"In post","2022","Analysis","South West (England)","HEO","Heterosexual / straight","80","75","32510","32010"
"In post","2022","Analysis","South West (England)","HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","South West (England)","HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","South West (England)","HEO","Unknown","60","60","30160","29270"
"In post","2022","Analysis","South West (England)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South West (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South West (England)","SEO","Heterosexual / straight","70","65","40130","39850"
"In post","2022","Analysis","South West (England)","SEO","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","South West (England)","SEO","Undeclared","15","10","[c]","[c]"
"In post","2022","Analysis","South West (England)","SEO","Unknown","50","45","39030","38070"
"In post","2022","Analysis","Unknown","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Wales","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Wales","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Wales","AO","Heterosexual / straight","45","40","20090","19860"
"In post","2022","Analysis","Wales","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Wales","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Wales","AO","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Wales","EO","Heterosexual / straight","95","90","24970","24030"
"In post","2022","Analysis","Wales","EO","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Wales","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Wales","EO","Unknown","40","35","25040","24030"
"In post","2022","Analysis","Wales","G6","Heterosexual / straight","35","35","61600","60940"
"In post","2022","Analysis","Wales","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Wales","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Wales","G6","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Wales","G7","Heterosexual / straight","140","135","51350","50210"
"In post","2022","Analysis","Wales","G7","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","Wales","G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Wales","G7","Unknown","55","55","51610","50210"
"In post","2022","Analysis","Wales","HEO","Heterosexual / straight","275","265","31060","30710"
"In post","2022","Analysis","Wales","HEO","LGBO","35","35","30720","30710"
"In post","2022","Analysis","Wales","HEO","Undeclared","30","25","[c]","[c]"
"In post","2022","Analysis","Wales","HEO","Unknown","90","90","31130","30710"
"In post","2022","Analysis","Wales","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Wales","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Wales","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Wales","SCS level","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Wales","SEO","Heterosexual / straight","240","225","38580","38340"
"In post","2022","Analysis","Wales","SEO","LGBO","30","30","[c]","[c]"
"In post","2022","Analysis","Wales","SEO","Undeclared","20","15","[c]","[c]"
"In post","2022","Analysis","Wales","SEO","Unknown","95","95","38160","38340"
"In post","2022","Analysis","West Midlands (England)","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","SEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Yorkshire and The Humber","AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Yorkshire and The Humber","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Yorkshire and The Humber","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Yorkshire and The Humber","AO","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Yorkshire and The Humber","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Analysis","Yorkshire and The Humber","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Yorkshire and The Humber","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Yorkshire and The Humber","EO","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Yorkshire and The Humber","G6","Heterosexual / straight","35","35","65970","66370"
"In post","2022","Analysis","Yorkshire and The Humber","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Yorkshire and The Humber","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Yorkshire and The Humber","G6","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Yorkshire and The Humber","G7","Heterosexual / straight","105","100","52570","52150"
"In post","2022","Analysis","Yorkshire and The Humber","G7","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Yorkshire and The Humber","G7","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Yorkshire and The Humber","G7","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Yorkshire and The Humber","HEO","Heterosexual / straight","70","70","32190","31990"
"In post","2022","Analysis","Yorkshire and The Humber","HEO","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","Yorkshire and The Humber","HEO","Undeclared","15","15","[c]","[c]"
