"Status","Year","Parent_department","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Barnsley, Doncaster and Rotherham","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Barnsley, Doncaster and Rotherham","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Barnsley, Doncaster and Rotherham","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","Heterosexual / straight","90","85","41480","35020"
"In post","2022","Attorney General's Departments","Berkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","Unknown","30","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","Heterosexual / straight","10","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Birmingham","Heterosexual / straight","360","340","40010","38000"
"In post","2022","Attorney General's Departments","Birmingham","LGBO","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Birmingham","Undeclared","15","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Birmingham","Unknown","115","105","42410","48080"
"In post","2022","Attorney General's Departments","Blackburn with Darwen","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Blackburn with Darwen","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bradford","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bradford","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bradford","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bridgend and Neath Port Talbot","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bridgend and Neath Port Talbot","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bridgend and Neath Port Talbot","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bridgend and Neath Port Talbot","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","Heterosexual / straight","90","85","41960","35020"
"In post","2022","Attorney General's Departments","Brighton and Hove","LGBO","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","Unknown","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Bristol, City of","Heterosexual / straight","120","115","41430","38470"
"In post","2022","Attorney General's Departments","Bristol, City of","LGBO","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Bristol, City of","Undeclared","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Bristol, City of","Unknown","35","30","49240","51380"
"In post","2022","Attorney General's Departments","Bromley","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bromley","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bromley","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Buckinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Buckinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Buckinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Calderdale and Kirklees","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Calderdale and Kirklees","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Calderdale and Kirklees","Unknown","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Cambridgeshire CC","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Cambridgeshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cambridgeshire CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cambridgeshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Camden and City of London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Camden and City of London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Camden and City of London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cardiff and Vale of Glamorgan","Heterosexual / straight","170","160","40540","38180"
"In post","2022","Attorney General's Departments","Cardiff and Vale of Glamorgan","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Cardiff and Vale of Glamorgan","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Cardiff and Vale of Glamorgan","Unknown","45","40","41200","38280"
"In post","2022","Attorney General's Departments","Central Hampshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Central Hampshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire East","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire East","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire East","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Conwy and Denbighshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Conwy and Denbighshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Conwy and Denbighshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Croydon","Heterosexual / straight","40","35","36220","31180"
"In post","2022","Attorney General's Departments","Croydon","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Croydon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Croydon","Unknown","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Derby","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derby","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derby","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derby","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Devon CC","Heterosexual / straight","80","80","39190","34480"
"In post","2022","Attorney General's Departments","Devon CC","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Devon CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Devon CC","Unknown","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Dorset","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Dorset","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Durham","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Durham","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Durham","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Ealing","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Ealing","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Ealing","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Cumbria","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","East Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Cumbria","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","East Derbyshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Derbyshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Derbyshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Kent","Heterosexual / straight","80","75","37010","30110"
"In post","2022","Attorney General's Departments","East Kent","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Kent","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Kent","Unknown","40","35","43550","35020"
"In post","2022","Attorney General's Departments","East Lothian and Midlothian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Lothian and Midlothian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Merseyside","Heterosexual / straight","[c]","[c]","[c]","[c]"
