"Status","Year","Ethnicity","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","AA/AO","Female","4870","4065","22520","21410"
"In post","2022","Asian","AA/AO","Male","3640","3460","22850","21260"
"In post","2022","Asian","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","EO","Female","6105","5530","28450","27570"
"In post","2022","Asian","EO","Male","4710","4610","28210","27570"
"In post","2022","Asian","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","G6/G7","Female","2065","1985","58330","56140"
"In post","2022","Asian","G6/G7","Male","1765","1745","59430","57460"
"In post","2022","Asian","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","SCS level","Female","175","165","91070","83230"
"In post","2022","Asian","SCS level","Male","155","150","92080","86480"
"In post","2022","Asian","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","SEO/HEO","Female","4920","4750","37100","36520"
"In post","2022","Asian","SEO/HEO","Male","4400","4330","37540","36650"
"In post","2022","Asian","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Female","570","530","29190","27980"
"In post","2022","Asian","Unknown","Male","270","255","31540","28200"
"In post","2022","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","AA/AO","Female","2495","2255","23800","23720"
"In post","2022","Black","AA/AO","Male","1650","1595","25720","24310"
"In post","2022","Black","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","EO","Female","3815","3610","29280","29290"
"In post","2022","Black","EO","Male","1850","1810","29250","29080"
"In post","2022","Black","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","G6/G7","Female","930","915","57610","55210"
"In post","2022","Black","G6/G7","Male","550","550","58740","56800"
"In post","2022","Black","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","SCS level","Female","55","55","88810","79140"
"In post","2022","Black","SCS level","Male","40","40","99500","92520"
"In post","2022","Black","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","SEO/HEO","Female","2780","2725","37500","36980"
"In post","2022","Black","SEO/HEO","Male","1715","1695","38050","37510"
"In post","2022","Black","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","Female","840","805","31520","28690"
"In post","2022","Black","Unknown","Male","355","350","31810","28690"
"In post","2022","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","AA/AO","Female","1155","1030","22880","21430"
"In post","2022","Mixed","AA/AO","Male","855","830","24420","22570"
"In post","2022","Mixed","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","EO","Female","1440","1345","28170","27570"
"In post","2022","Mixed","EO","Male","880","860","28450","27570"
"In post","2022","Mixed","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","G6/G7","Female","810","770","58200","56370"
"In post","2022","Mixed","G6/G7","Male","665","655","58860","57010"
"In post","2022","Mixed","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","SCS level","Female","75","75","82740","78530"
"In post","2022","Mixed","SCS level","Male","75","75","87110","79620"
"In post","2022","Mixed","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","SEO/HEO","Female","1485","1435","36760","35880"
"In post","2022","Mixed","SEO/HEO","Male","1165","1150","37660","37000"
"In post","2022","Mixed","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","Female","420","395","30650","28690"
"In post","2022","Mixed","Unknown","Male","140","135","31430","28200"
"In post","2022","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","AA/AO","Female","285","250","23100","22080"
"In post","2022","Other ethnicity","AA/AO","Male","275","265","24970","23350"
"In post","2022","Other ethnicity","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","EO","Female","430","400","28780","28310"
"In post","2022","Other ethnicity","EO","Male","295","285","28490","27570"
"In post","2022","Other ethnicity","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","G6/G7","Female","210","200","59220","57460"
"In post","2022","Other ethnicity","G6/G7","Male","230","225","59870","57310"
"In post","2022","Other ethnicity","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","SCS level","Female","20","20","[c]","[c]"
"In post","2022","Other ethnicity","SCS level","Male","30","30","[c]","[c]"
"In post","2022","Other ethnicity","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","SEO/HEO","Female","405","390","37720","37100"
"In post","2022","Other ethnicity","SEO/HEO","Male","365","360","38550","37560"
"In post","2022","Other ethnicity","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Female","70","65","30930","28690"
"In post","2022","Other ethnicity","Unknown","Male","35","35","31460","31120"
"In post","2022","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Female","2210","1840","22190","21300"
"In post","2022","Undeclared","AA/AO","Male","2430","2300","23750","21680"
"In post","2022","Undeclared","EO","Female","2575","2275","28320","27570"
"In post","2022","Undeclared","EO","Male","3035","2885","28780","27570"
"In post","2022","Undeclared","G6/G7","Female","920","875","59030","57150"
"In post","2022","Undeclared","G6/G7","Male","1975","1925","59490","57610"
"In post","2022","Undeclared","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS level","Female","75","70","86020","80000"
"In post","2022","Undeclared","SCS level","Male","130","130","88340","80870"
"In post","2022","Undeclared","SEO/HEO","Female","2220","2080","37320","36750"
"In post","2022","Undeclared","SEO/HEO","Male","4025","3905","38210","37610"
"In post","2022","Undeclared","Unknown","Female","290","265","31630","31420"
"In post","2022","Undeclared","Unknown","Male","310","295","36860","35930"
"In post","2022","Unknown","AA/AO","Female","12075","10790","22320","21300"
"In post","2022","Unknown","AA/AO","Male","10720","10355","23390","21640"
"In post","2022","Unknown","EO","Female","8030","7515","27770","27270"
"In post","2022","Unknown","EO","Male","7910","7690","28260","27230"
"In post","2022","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","G6/G7","Female","4410","4225","59020","56860"
"In post","2022","Unknown","G6/G7","Male","4695","4635","60070","57510"
"In post","2022","Unknown","SCS level","Female","445","430","92250","83230"
"In post","2022","Unknown","SCS level","Male","495","480","99380","93000"
"In post","2022","Unknown","SEO/HEO","Female","8850","8545","35850","34340"
"In post","2022","Unknown","SEO/HEO","Male","9285","9120","36540","35290"
"In post","2022","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Female","2810","2545","28340","26310"
"In post","2022","Unknown","Unknown","Male","2770","2665","34570","32550"
"In post","2022","White","AA/AO","Female","54445","46535","22140","21260"
"In post","2022","White","AA/AO","Male","40050","38225","23880","21680"
"In post","2022","White","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","White","EO","Female","52485","46925","27540","27570"
"In post","2022","White","EO","Male","37705","36260","28180","27570"
"In post","2022","White","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","White","G6/G7","Female","24585","23235","58570","56130"
"In post","2022","White","G6/G7","Male","25625","25100","59570","57480"
"In post","2022","White","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2022","White","SCS level","Female","2560","2435","87550","80000"
"In post","2022","White","SCS level","Male","2895","2845","92310","83800"
"In post","2022","White","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","White","SEO/HEO","Female","52195","49180","36770","35950"
"In post","2022","White","SEO/HEO","Male","47705","46600","37810","37100"
"In post","2022","White","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","White","Unknown","Female","10440","9640","30500","28200"
"In post","2022","White","Unknown","Male","4125","3990","34770","31950"
"In post","2022","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","AA/AO","Female","465","[c]","21960","21300"
"Leaver CS","2022","Asian","AA/AO","Male","385","[c]","22060","21260"
"Leaver CS","2022","Asian","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","EO","Female","410","[c]","28200","27570"
"Leaver CS","2022","Asian","EO","Male","310","[c]","28220","27570"
"Leaver CS","2022","Asian","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","G6/G7","Female","105","[c]","58470","55380"
"Leaver CS","2022","Asian","G6/G7","Male","120","[c]","59910","58460"
"Leaver CS","2022","Asian","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","SCS level","Female","25","[c]","[c]","[c]"
"Leaver CS","2022","Asian","SCS level","Male","20","[c]","[c]","[c]"
"Leaver CS","2022","Asian","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","SEO/HEO","Female","270","[c]","37070","36770"
"Leaver CS","2022","Asian","SEO/HEO","Male","250","[c]","37160","36710"
"Leaver CS","2022","Asian","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Female","40","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Male","20","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","AA/AO","Female","255","[c]","22610","22530"
"Leaver CS","2022","Black","AA/AO","Male","170","[c]","22500","22570"
"Leaver CS","2022","Black","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","EO","Female","340","[c]","29220","29520"
"Leaver CS","2022","Black","EO","Male","165","[c]","28880","28670"
"Leaver CS","2022","Black","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","G6/G7","Female","55","[c]","58930","56810"
"Leaver CS","2022","Black","G6/G7","Male","55","[c]","57690","54700"
"Leaver CS","2022","Black","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","SCS level","Female","5","[c]","[c]","[c]"
"Leaver CS","2022","Black","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","SEO/HEO","Female","195","[c]","37610","36500"
