"Status","Year","Function_of_post","Parent_department","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Attorney General's Departments","Inner London - West","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Inner London - West","Westminster","20","20","41620","35070"
"In post","2022","Analysis","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","West Central Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Eastern Scotland","City of Edinburgh","10","10","73790","69690"
"In post","2022","Analysis","Chancellor's other departments","Inner London - West","Camden and City of London","175","160","69590","65470"
"In post","2022","Analysis","Chancellor's other departments","Inner London - West","Westminster","20","20","50940","48770"
"In post","2022","Analysis","Chancellor's other departments","Lancashire","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","West Central Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Eastern Scotland","City of Edinburgh","5","5","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Inner London - East","Tower Hamlets","130","125","62170","56360"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Bedfordshire and Hertfordshire","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Devon","Plymouth","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","East Wales","Cardiff and Vale of Glamorgan","25","25","36510","36070"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","East Wales","Monmouthshire and Newport","35","35","34960","30770"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Eastern Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Eastern Scotland","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
