"Status","Year","Age","Profession_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Commercial","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Communications","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","South East (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","South West (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Yorkshire and The Humber","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Economics","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","Wales","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Economics","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","South West (England)","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","Finance","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Yorkshire and The Humber","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
