"Status","Year","Function_of_post","Region_ITL3","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Croydon","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Croydon","London","SEO/HEO","25","25","41080","37930"
"In post","2022","Analysis","Darlington","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Darlington","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Darlington","Outside London","SEO/HEO","25","20","32640","30710"
"In post","2022","Analysis","Devon CC","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Devon CC","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon CC","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset","Outside London","AA/AO","10","10","21510","21510"
"In post","2022","Analysis","Dorset","Outside London","EO","30","30","25180","25010"
"In post","2022","Analysis","Dorset","Outside London","G6/G7","20","20","54410","49970"
"In post","2022","Analysis","Dorset","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset","Outside London","SEO/HEO","60","60","32850","30220"
"In post","2022","Analysis","Durham","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Durham","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Ayrshire and North Ayrshire mainland","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Cumbria","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Cumbria","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Cumbria","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Cumbria","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","East Derbyshire","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Kent","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Lancashire","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Lothian and Midlothian","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Merseyside","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Merseyside","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Riding of Yorkshire","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Sussex CC","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Sussex CC","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Sussex CC","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Essex Haven Gateway","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Flintshire and Wrexham","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Flintshire and Wrexham","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Glasgow City","Outside London","EO","15","15","25750","24650"
"In post","2022","Analysis","Glasgow City","Outside London","G6/G7","20","20","57730","58960"
"In post","2022","Analysis","Glasgow City","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Glasgow City","Outside London","SEO/HEO","35","35","35600","35000"
"In post","2022","Analysis","Greater Manchester North East","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Greater Manchester North East","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Greater Manchester South West","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Greater Manchester South West","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Greater Manchester South West","Outside London","SEO/HEO","15","15","35790","33510"
