"Status","Year","Age","Disability","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Levelling Up, Housing and Communities","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Levelling Up, Housing and Communities","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Work and Pensions","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department of Health and Social Care","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department of Health and Social Care","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Revenue and Customs","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Home Office","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Home Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Ministry of Defence","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","Declared disabled","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Ministry of Justice","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Declared disabled","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","UK Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Attorney General's Departments","London","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Attorney General's Departments","Outside London","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Cabinet Office","London","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy","London","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","London","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","Outside London","25","25","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Levelling Up, Housing and Communities","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Levelling Up, Housing and Communities","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Transport","Outside London","40","30","19610","18310"
"In post","2022","16-19","Declared non-disabled","Department for Work and Pensions","London","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Work and Pensions","Outside London","115","115","22790","21260"
"In post","2022","16-19","Declared non-disabled","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department of Health and Social Care","London","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department of Health and Social Care","Outside London","10","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
