"Status","Year","Ethnicity","Organisation","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Accountant in Bankruptcy","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","EO","EO","15","15","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","SEO/HEO","HEO","25","25","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","AA/AO","AO","30","30","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","EO","EO","30","30","27770","27960"
"In post","2022","Asian","Animal and Plant Health Agency","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","SEO/HEO","HEO","15","15","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","AA/AO","AA","[c]","[c]","[c]","[c]"
