"Status","Year","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","London","AA/AO","11875","11000","26070","25110"
"In post","2022","London","EO","21125","20095","30190","30470"
"In post","2022","London","G6/G7","29325","28390","60690","58770"
"In post","2022","London","SCS level","4480","4330","91150","82340"
"In post","2022","London","SEO/HEO","35585","34810","38740","38160"
"In post","2022","London","Unknown","2435","2325","34660","33700"
"In post","2022","Outside London","AA/AO","125025","112550","22630","21260"
"In post","2022","Outside London","EO","109420","101215","27560","27570"
"In post","2022","Outside London","G6/G7","38640","37195","57900","55210"
"In post","2022","Outside London","SCS level","2425","2355","90620","83230"
"In post","2022","Outside London","SEO/HEO","103820","99350","36630","35480"
"In post","2022","Outside London","Unknown","18925","17570","30670","28200"
"In post","2022","Overseas","AA/AO","65","65","22100","21830"
"In post","2022","Overseas","EO","285","285","27700","27130"
"In post","2022","Overseas","G6/G7","1315","1305","59620","57490"
"In post","2022","Overseas","SCS level","290","290","85420","76600"
"In post","2022","Overseas","SEO/HEO","1525","1520","39250","36450"
"In post","2022","Overseas","Unknown","200","200","40510","32790"
"In post","2022","Unknown","AA/AO","200","180","22400","21260"
"In post","2022","Unknown","EO","440","415","28290","27570"
"In post","2022","Unknown","G6/G7","165","160","57420","54700"
"In post","2022","Unknown","SCS level","25","20","96490","87600"
"In post","2022","Unknown","SEO/HEO","595","585","34510","32790"
"In post","2022","Unknown","Unknown","1890","1875","36980","33570"
"Leaver CS","2022","London","AA/AO","1770","[c]","23250","23720"
"Leaver CS","2022","London","EO","2200","[c]","29470","30540"
"Leaver CS","2022","London","G6/G7","2080","[c]","60080","57730"
"Leaver CS","2022","London","SCS level","430","[c]","97940","92500"
"Leaver CS","2022","London","SEO/HEO","2835","[c]","37840","37320"
"Leaver CS","2022","London","Unknown","325","[c]","51440","42990"
"Leaver CS","2022","Outside London","AA/AO","15255","[c]","21590","21260"
"Leaver CS","2022","Outside London","EO","8255","[c]","27300","27570"
"Leaver CS","2022","Outside London","G6/G7","2105","[c]","60010","57480"
"Leaver CS","2022","Outside London","SCS level","255","[c]","99420","95140"
"Leaver CS","2022","Outside London","SEO/HEO","5830","[c]","37250","36460"
"Leaver CS","2022","Outside London","Unknown","1500","[c]","36190","33000"
"Leaver CS","2022","Overseas","EO","10","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","G6/G7","35","[c]","65530","63750"
"Leaver CS","2022","Overseas","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","SEO/HEO","75","[c]","41090","40580"
"Leaver CS","2022","Overseas","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","385","[c]","20800","21590"
"Leaver CS","2022","Unknown","EO","125","[c]","27330","27570"
"Leaver CS","2022","Unknown","G6/G7","80","[c]","62380","61000"
"Leaver CS","2022","Unknown","SCS level","20","[c]","99780","84560"
"Leaver CS","2022","Unknown","SEO/HEO","140","[c]","37660","37440"
"Leaver CS","2022","Unknown","Unknown","485","[c]","35910","33270"
"Leaver Dept.","2022","London","AA/AO","500","[c]","23370","23720"
"Leaver Dept.","2022","London","EO","1620","[c]","28610","28310"
"Leaver Dept.","2022","London","G6/G7","2915","[c]","58850","55420"
"Leaver Dept.","2022","London","SCS level","560","[c]","95470","91530"
"Leaver Dept.","2022","London","SEO/HEO","4530","[c]","36640","35430"
"Leaver Dept.","2022","London","Unknown","145","[c]","42750","38190"
"Leaver Dept.","2022","Outside London","AA/AO","2770","[c]","21090","21170"
"Leaver Dept.","2022","Outside London","EO","3520","[c]","26380","27570"
"Leaver Dept.","2022","Outside London","G6/G7","1720","[c]","56710","53360"
"Leaver Dept.","2022","Outside London","SCS level","270","[c]","104260","104450"
"Leaver Dept.","2022","Outside London","SEO/HEO","4135","[c]","35060","34850"
"Leaver Dept.","2022","Outside London","Unknown","175","[c]","35700","34340"
"Leaver Dept.","2022","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","G6/G7","25","[c]","55350","53570"
"Leaver Dept.","2022","Overseas","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","SEO/HEO","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","AA/AO","75","[c]","21370","21840"
"Leaver Dept.","2022","Unknown","EO","105","[c]","27280","27500"
"Leaver Dept.","2022","Unknown","G6/G7","130","[c]","58280","55160"
"Leaver Dept.","2022","Unknown","SCS level","35","[c]","89010","78420"
"Leaver Dept.","2022","Unknown","SEO/HEO","380","[c]","33650","32000"
"Leaver Dept.","2022","Unknown","Unknown","20","[c]","[c]","[c]"
