"Status","Year","Ethnicity","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","EO","EO","10","10","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","AA/AO","AA","15","15","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","AA/AO","AO","15","15","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","EO","EO","10","10","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","G6/G7","G7","[c]","[c]","[c]","[c]"
