"Status","Year","Age","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Commercial","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Inner London - West","10","10","[c]","[c]"
"In post","2022","16-19","Communications","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Kent","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Devon","10","10","18800","19380"
"In post","2022","16-19","Digital, Data and Technology","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","East Wales","5","5","[c]","[c]"
"In post","2022","16-19","Economics","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","Inner London - West","15","15","25610","24300"
"In post","2022","16-19","Economics","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Gloucestershire, Wiltshire and Bath/Bristol area","15","15","19730","19460"
"In post","2022","16-19","Finance","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Eastern Scotland","[c]","[c]","[c]","[c]"
