"Status","Year","Profession_of_post","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","London","Female","Heterosexual / straight","395","380","45440","41780"
"In post","2022","Commercial","London","Female","LGBO","20","20","[c]","[c]"
"In post","2022","Commercial","London","Female","Undeclared","80","80","47350","42510"
"In post","2022","Commercial","London","Female","Unknown","85","85","39430","34710"
"In post","2022","Commercial","London","Male","Heterosexual / straight","315","310","49450","45570"
"In post","2022","Commercial","London","Male","LGBO","40","40","46220","45600"
"In post","2022","Commercial","London","Male","Undeclared","75","75","48180","44980"
"In post","2022","Commercial","London","Male","Unknown","90","85","47370","42470"
"In post","2022","Commercial","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Outside London","Female","Heterosexual / straight","2095","1980","37740","35730"
"In post","2022","Commercial","Outside London","Female","LGBO","100","100","34580","32850"
"In post","2022","Commercial","Outside London","Female","Undeclared","250","235","37470","36510"
"In post","2022","Commercial","Outside London","Female","Unknown","355","330","34910","33290"
"In post","2022","Commercial","Outside London","Male","Heterosexual / straight","1610","1585","40340","37450"
"In post","2022","Commercial","Outside London","Male","LGBO","95","95","36520","33300"
"In post","2022","Commercial","Outside London","Male","Undeclared","230","225","40740","38240"
"In post","2022","Commercial","Outside London","Male","Unknown","310","305","37190","34290"
"In post","2022","Commercial","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
