"Status","Year","Ethnicity","Function_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Derbyshire and Nottinghamshire","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Anglia","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","East Wales","Outside London","45","45","34690","31700"
"In post","2022","Asian","Analysis","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Greater Manchester","Outside London","40","35","36180","33370"
"In post","2022","Asian","Analysis","Hampshire and Isle of Wight","Outside London","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Inner London - East","London","120","120","46100","42860"
"In post","2022","Asian","Analysis","Inner London - West","London","315","310","45570","41340"
"In post","2022","Asian","Analysis","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Northumberland, and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Outer London - South","London","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Outer London - West and North West","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Shropshire and Staffordshire","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
