"Status","Year","Age","Organisation","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Animal and Plant Health Agency","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","South East (England)","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","London","EO","10","10","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","Scotland","AA/AO","10","10","21050","21050"
"In post","2022","16-19","Crown Prosecution Service","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","East of England","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","London","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","Wales","AA/AO","10","10","17820","17450"
"In post","2022","16-19","Defence Electronics and Components Agency","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Scotland","EO","10","10","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","South East (England)","EO","5","5","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","South West (England)","EO","90","90","18730","18030"
"In post","2022","16-19","Defence Equipment and Support","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","South West (England)","AA/AO","15","15","19070","22080"
"In post","2022","16-19","Defence Science and Technology Laboratory","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","North West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","London","EO","10","10","25170","25170"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","North East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","London","EO","[c]","[c]","[c]","[c]"
