"Status","Year","Ethnicity","Parent_department","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Attorney General's Departments","AA/AO","Heterosexual / straight","145","130","22980","23770"
"In post","2022","Asian","Attorney General's Departments","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","AA/AO","Unknown","35","30","23000","23770"
"In post","2022","Asian","Attorney General's Departments","EO","Heterosexual / straight","180","170","27740","27050"
"In post","2022","Asian","Attorney General's Departments","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","EO","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","G6/G7","Heterosexual / straight","430","405","56290","53050"
"In post","2022","Asian","Attorney General's Departments","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","G6/G7","Unknown","55","50","58790","58590"
"In post","2022","Asian","Attorney General's Departments","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","SEO/HEO","Heterosexual / straight","125","120","36840","38000"
"In post","2022","Asian","Attorney General's Departments","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","AA/AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Cabinet Office","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","EO","Heterosexual / straight","85","80","27160","27500"
"In post","2022","Asian","Cabinet Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","G6/G7","Heterosexual / straight","185","185","58440","56340"
"In post","2022","Asian","Cabinet Office","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Cabinet Office","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Cabinet Office","SCS level","LGBO","[c]","[c]","[c]","[c]"
