"Status","Year","Disability","Function_of_post","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","East Midlands (England)","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Midlands (England)","Leicester","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Midlands (England)","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Midlands (England)","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Midlands (England)","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Midlands (England)","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Midlands (England)","Nottingham","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Midlands (England)","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Midlands (England)","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Midlands (England)","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East of England","Bedford","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East of England","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East of England","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East of England","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East of England","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East of England","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East of England","Luton","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East of England","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East of England","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East of England","Suffolk CC","20","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","London","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","London","Barnet","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","London","Camden and City of London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","London","Croydon","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","London","Hackney and Newham","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","London","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","London","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","London","Lambeth","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","London","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","London","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","London","Tower Hamlets","55","55","44070","41750"
"In post","2022","Declared disabled","Analysis","London","Westminster","185","180","46630","42160"
"In post","2022","Declared disabled","Analysis","North East (England)","Darlington","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North East (England)","Durham","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North East (England)","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North East (England)","Sunderland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North East (England)","Tyneside","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North West (England)","Blackpool","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North West (England)","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North West (England)","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North West (England)","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North West (England)","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North West (England)","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North West (England)","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North West (England)","Liverpool","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North West (England)","Manchester","30","30","42240","40520"
