"Status","Year","Parent_department","Profession_of_post","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Commercial","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Essex","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Greater Manchester","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Inner London - West","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Inner London - West","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","North Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","North Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","North Yorkshire","G6/G7","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","North Yorkshire","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Northumberland, and Tyne and Wear","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Shropshire and Staffordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Shropshire and Staffordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","West Wales and The Valleys","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","West Wales and The Valleys","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Bedfordshire and Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Bedfordshire and Hertfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Derbyshire and Nottinghamshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","East Wales","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","East Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","East Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Essex","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Greater Manchester","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Hampshire and Isle of Wight","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Inner London - West","EO","10","10","27740","27040"
"In post","2022","Attorney General's Departments","Communications","Inner London - West","G6/G7","20","20","59800","54760"
"In post","2022","Attorney General's Departments","Communications","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Inner London - West","SEO/HEO","35","35","35950","33900"
"In post","2022","Attorney General's Departments","Communications","Kent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Leicestershire, Rutland and Northamptonshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Leicestershire, Rutland and Northamptonshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Merseyside","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","North Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
