"Status","Year","Ethnicity","Function_of_post","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Chancellor's other departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Chancellor's other departments","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Chancellor's other departments","Other","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Competition and Markets Authority","Economics","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Competition and Markets Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Economics","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Other","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Policy","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Digital, Culture, Media and Sport","Economics","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Digital, Culture, Media and Sport","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Digital, Culture, Media and Sport","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Digital, Culture, Media and Sport","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Education","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Education","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Education","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Education","Policy","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Environment, Food and Rural Affairs","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Department for International Trade","Economics","20","20","[c]","[c]"
"In post","2022","Asian","Analysis","Department for International Trade","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for International Trade","Other","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for International Trade","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for International Trade","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for International Trade","Statistics","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Levelling Up, Housing and Communities","Economics","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Levelling Up, Housing and Communities","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Levelling Up, Housing and Communities","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Levelling Up, Housing and Communities","Statistics","20","15","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Transport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Transport","Economics","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Transport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Transport","Other","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Transport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Transport","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Transport","Statistics","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Work and Pensions","Economics","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Work and Pensions","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Work and Pensions","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Work and Pensions","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Work and Pensions","Policy","20","20","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Work and Pensions","Science and Engineering","[c]","[c]","[c]","[c]"
