"Status","Year","Organisation","Parent_department","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Scottish Government","AA/AO","Female","20","15","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scottish Government","AA/AO","Male","10","10","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scottish Government","EO","Female","25","20","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scottish Government","EO","Male","15","15","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scottish Government","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scottish Government","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scottish Government","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scottish Government","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scottish Government","SEO/HEO","Female","25","20","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scottish Government","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AA/AO","Female","40","35","21190","21100"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AA/AO","Male","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","Female","190","175","25100","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","Male","130","125","25010","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6/G7","Female","30","25","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6/G7","Male","30","25","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","Female","345","320","35010","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","Male","250","235","36750","34500"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA/AO","Female","570","520","22020","21300"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA/AO","Male","295","285","22210","21300"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","Female","485","460","26260","25320"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","Male","340","325","26540","25730"
