"Status","Year","Region_ITL2","Responsibility_level_grouped","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Bedfordshire and Hertfordshire","AA/AO","AA","Heterosexual / straight","170","160","20990","21650"
"In post","2022","Bedfordshire and Hertfordshire","AA/AO","AA","LGBO","10","10","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","AA/AO","AA","Undeclared","20","15","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","AA/AO","AA","Unknown","45","40","21490","21790"
"In post","2022","Bedfordshire and Hertfordshire","AA/AO","AO","Heterosexual / straight","645","605","25730","24250"
"In post","2022","Bedfordshire and Hertfordshire","AA/AO","AO","LGBO","40","40","27520","28140"
"In post","2022","Bedfordshire and Hertfordshire","AA/AO","AO","Undeclared","75","65","25210","23770"
"In post","2022","Bedfordshire and Hertfordshire","AA/AO","AO","Unknown","180","170","25970","25060"
"In post","2022","Bedfordshire and Hertfordshire","EO","EO","Heterosexual / straight","1185","1110","28900","29290"
"In post","2022","Bedfordshire and Hertfordshire","EO","EO","LGBO","60","60","29090","29290"
"In post","2022","Bedfordshire and Hertfordshire","EO","EO","Undeclared","135","125","29630","29290"
"In post","2022","Bedfordshire and Hertfordshire","EO","EO","Unknown","225","200","29320","29290"
"In post","2022","Bedfordshire and Hertfordshire","G6/G7","G6","Heterosexual / straight","80","80","69860","68500"
"In post","2022","Bedfordshire and Hertfordshire","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","G6/G7","G6","Undeclared","10","10","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","G6/G7","G6","Unknown","20","20","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","G6/G7","G7","Heterosexual / straight","210","200","58420","56690"
"In post","2022","Bedfordshire and Hertfordshire","G6/G7","G7","LGBO","10","10","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","G6/G7","G7","Undeclared","20","20","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","G6/G7","G7","Unknown","60","55","57070","56720"
"In post","2022","Bedfordshire and Hertfordshire","SCS level","SCS level","Heterosexual / straight","35","35","87820","82500"
"In post","2022","Bedfordshire and Hertfordshire","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","SCS level","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","SEO/HEO","HEO","Heterosexual / straight","455","440","35230","35120"
"In post","2022","Bedfordshire and Hertfordshire","SEO/HEO","HEO","LGBO","20","20","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","SEO/HEO","HEO","Undeclared","65","65","35920","35120"
"In post","2022","Bedfordshire and Hertfordshire","SEO/HEO","HEO","Unknown","80","75","36100","35120"
"In post","2022","Bedfordshire and Hertfordshire","SEO/HEO","SEO","Heterosexual / straight","310","300","43920","43060"
"In post","2022","Bedfordshire and Hertfordshire","SEO/HEO","SEO","LGBO","10","10","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","SEO/HEO","SEO","Undeclared","45","45","43890","44780"
"In post","2022","Bedfordshire and Hertfordshire","SEO/HEO","SEO","Unknown","55","50","44210","44370"
"In post","2022","Bedfordshire and Hertfordshire","Unknown","Unknown","Heterosexual / straight","285","265","30330","28200"
"In post","2022","Bedfordshire and Hertfordshire","Unknown","Unknown","LGBO","20","20","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Unknown","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Unknown","Unknown","Unknown","80","70","27190","24800"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","AA","Heterosexual / straight","365","350","20840","19810"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","AA","LGBO","20","20","[c]","[c]"
