"Status","Year","Age","Region_ITL3","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Aberdeen City and Aberdeenshire","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Aberdeen City and Aberdeenshire","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Angus and Dundee City","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Angus and Dundee City","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnet","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnet","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnet","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnet","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnsley, Doncaster and Rotherham","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnsley, Doncaster and Rotherham","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnsley, Doncaster and Rotherham","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnsley, Doncaster and Rotherham","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnsley, Doncaster and Rotherham","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnsley, Doncaster and Rotherham","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Female","20","20","[c]","[c]"
"In post","2022","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Male","70","70","18420","18030"
"In post","2022","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Male","5","5","[c]","[c]"
"In post","2022","16-19","Bedford","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bedford","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bedford","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bedford","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Belfast","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Belfast","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire","EO","Female","[c]","[c]","[c]","[c]"
