"Status","Year","Disability","Parent_department","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Attorney General's Departments","London","Heterosexual / straight","325","305","49240","51250"
"In post","2022","Declared disabled","Attorney General's Departments","London","LGBO","50","50","48990","50880"
"In post","2022","Declared disabled","Attorney General's Departments","London","Undeclared","30","30","52200","52730"
"In post","2022","Declared disabled","Attorney General's Departments","London","Unknown","30","30","48680","53050"
"In post","2022","Declared disabled","Attorney General's Departments","Outside London","Heterosexual / straight","490","455","39750","34480"
"In post","2022","Declared disabled","Attorney General's Departments","Outside London","LGBO","40","35","40110","30750"
"In post","2022","Declared disabled","Attorney General's Departments","Outside London","Undeclared","30","30","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Outside London","Unknown","70","60","41960","36240"
"In post","2022","Declared disabled","Attorney General's Departments","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","London","Heterosexual / straight","360","350","49940","54700"
"In post","2022","Declared disabled","Cabinet Office","London","LGBO","90","90","46470","46070"
"In post","2022","Declared disabled","Cabinet Office","London","Undeclared","60","55","50150","54700"
"In post","2022","Declared disabled","Cabinet Office","London","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Outside London","Heterosexual / straight","295","285","38010","33300"
"In post","2022","Declared disabled","Cabinet Office","Outside London","LGBO","35","35","38590","35790"
"In post","2022","Declared disabled","Cabinet Office","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Unknown","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","London","Heterosexual / straight","35","30","55600","56630"
"In post","2022","Declared disabled","Competition and Markets Authority","London","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","London","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","London","Heterosexual / straight","415","405","48290","46220"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","London","LGBO","95","95","44310","40050"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","London","Undeclared","40","40","44920","40220"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","London","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Outside London","Heterosexual / straight","515","475","34570","31450"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Outside London","LGBO","75","75","33120","30360"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Outside London","Undeclared","55","50","35880","32730"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Outside London","Unknown","50","45","27940","24140"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","London","Heterosexual / straight","110","105","49620","51730"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","London","LGBO","30","30","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","London","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","London","Heterosexual / straight","155","145","48380","45250"
"In post","2022","Declared disabled","Department for Education","London","LGBO","30","30","47430","43090"
"In post","2022","Declared disabled","Department for Education","London","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","London","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","Outside London","Heterosexual / straight","420","400","38990","36500"
"In post","2022","Declared disabled","Department for Education","Outside London","LGBO","65","65","37200","35000"
"In post","2022","Declared disabled","Department for Education","Outside London","Undeclared","50","45","38030","36500"
"In post","2022","Declared disabled","Department for Education","Outside London","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","Overseas","Undeclared","[c]","[c]","[c]","[c]"
