"Status","Year","Disability","Ethnicity","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","Attorney General's Departments","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Attorney General's Departments","AO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Attorney General's Departments","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Attorney General's Departments","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Attorney General's Departments","G7","35","30","55610","53050"
"In post","2022","Declared disabled","Asian","Attorney General's Departments","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Attorney General's Departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Attorney General's Departments","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cabinet Office","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cabinet Office","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cabinet Office","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cabinet Office","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cabinet Office","G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cabinet Office","HEO","15","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cabinet Office","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cabinet Office","SEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Chancellor's other departments","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Chancellor's other departments","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Chancellor's other departments","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Chancellor's other departments","HEO","[c]","[c]","[c]","[c]"
