"Status","Year","Ethnicity","Region_ITL2","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Bedfordshire and Hertfordshire","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","AO","Heterosexual / straight","100","90","24580","24010"
"In post","2022","Asian","Bedfordshire and Hertfordshire","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","AO","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","AO","Unknown","15","10","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","EO","Heterosexual / straight","210","200","28440","28300"
"In post","2022","Asian","Bedfordshire and Hertfordshire","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","EO","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","EO","Unknown","25","20","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","G6","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","G7","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","HEO","Heterosexual / straight","55","55","35370","35780"
"In post","2022","Asian","Bedfordshire and Hertfordshire","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","SEO","Heterosexual / straight","35","35","43980","44500"
"In post","2022","Asian","Bedfordshire and Hertfordshire","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","SEO","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Unknown","Heterosexual / straight","30","30","28020","25560"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","AA","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","AO","Heterosexual / straight","135","120","24570","23230"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","AO","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","AO","Undeclared","10","5","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","AO","Unknown","20","15","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","EO","Heterosexual / straight","205","195","28730","28990"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","EO","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","EO","Unknown","20","20","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","G6","Undeclared","[c]","[c]","[c]","[c]"
