"Status","Year","Disability","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Attorney General's Departments","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","AA/AO","AO","185","165","22740","22200"
"In post","2022","Declared disabled","Attorney General's Departments","EO","EO","210","195","28280","28430"
"In post","2022","Declared disabled","Attorney General's Departments","G6/G7","G6","90","80","70780","69340"
"In post","2022","Declared disabled","Attorney General's Departments","G6/G7","G7","400","365","56240","55610"
"In post","2022","Declared disabled","Attorney General's Departments","SCS level","SCS level","30","30","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","SEO/HEO","HEO","115","110","35070","34480"
"In post","2022","Declared disabled","Attorney General's Departments","SEO/HEO","SEO","40","40","40550","39750"
"In post","2022","Declared disabled","Cabinet Office","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","AA/AO","AO","70","65","21770","21050"
"In post","2022","Declared disabled","Cabinet Office","EO","EO","145","140","26850","27500"
"In post","2022","Declared disabled","Cabinet Office","G6/G7","G6","80","80","66610","64500"
"In post","2022","Declared disabled","Cabinet Office","G6/G7","G7","220","220","54420","54700"
"In post","2022","Declared disabled","Cabinet Office","SCS level","SCS level","55","55","90750","77370"
"In post","2022","Declared disabled","Cabinet Office","SEO/HEO","HEO","185","185","33820","34550"
"In post","2022","Declared disabled","Cabinet Office","SEO/HEO","SEO","145","140","39600","40260"
"In post","2022","Declared disabled","Chancellor's other departments","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","EO","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","EO","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","SEO/HEO","SEO","10","5","[c]","[c]"
