"Status","Year","Function_of_post","Organisation","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Inner London - West","London","20","20","41620","35070"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","Outside London","10","10","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Devon","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","Outside London","125","120","34110","29990"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","Outside London","325","310","34700","30220"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Companies House","East Wales","Outside London","20","20","36720","36150"
"In post","2022","Analysis","Companies House","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Outer London - South","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Eastern Scotland","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Inner London - East","London","130","125","62170","56360"
"In post","2022","Analysis","Defence Electronics and Components Agency","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","120","115","38600","38070"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Hampshire and Isle of Wight","Outside London","385","365","41800","42020"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Greater Manchester","Outside London","10","10","33120","27470"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","London","235","230","43170","37250"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Greater Manchester","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Inner London - West","London","135","135","48540","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Derbyshire and Nottinghamshire","Outside London","10","10","41670","41990"
"In post","2022","Analysis","Department for Education (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","20","20","37340","39240"
"In post","2022","Analysis","Department for Education (excl. agencies)","Greater Manchester","Outside London","25","25","38800","37590"
"In post","2022","Analysis","Department for Education (excl. agencies)","Inner London - West","London","65","65","49200","46030"
"In post","2022","Analysis","Department for Education (excl. agencies)","Northumberland, and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","South Yorkshire","Outside London","60","55","45780","49860"
"In post","2022","Analysis","Department for Education (excl. agencies)","Tees Valley and Durham","Outside London","10","10","42030","42580"
"In post","2022","Analysis","Department for Education (excl. agencies)","West Midlands","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Inner London - West","London","250","250","44110","40270"
"In post","2022","Analysis","Department for International Trade","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Inner London - West","London","200","195","48100","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","West Midlands","Outside London","20","15","35990","30190"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Inner London - West","London","320","310","48130","54110"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Surrey, East and West Sussex","Outside London","10","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","West Yorkshire","Outside London","10","10","38020","38650"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Greater Manchester","Outside London","40","40","32870","31990"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Inner London - West","London","250","240","46070","40270"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Northumberland, and Tyne and Wear","Outside London","105","100","39930","36320"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","South Yorkshire","Outside London","150","140","45340","40610"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","Unknown","10","10","[c]","[c]"
