"Status","Year","Function_of_post","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","London","10","10","51300","53360"
"In post","2022","Analysis","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","London","65","60","50220","48000"
"In post","2022","Analysis","Digital, Data and Technology","North East (England)","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","North West (England)","10","10","38550","37590"
"In post","2022","Analysis","Digital, Data and Technology","Scotland","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","South West (England)","20","20","38070","38550"
"In post","2022","Analysis","Digital, Data and Technology","Wales","20","20","40080","37340"
"In post","2022","Analysis","Digital, Data and Technology","West Midlands (England)","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Yorkshire and The Humber","30","25","42840","41990"
"In post","2022","Analysis","Economics","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","London","1070","1045","49130","46250"
"In post","2022","Analysis","Economics","North East (England)","10","10","[c]","[c]"
"In post","2022","Analysis","Economics","North West (England)","60","60","39310","33370"
"In post","2022","Analysis","Economics","Scotland","15","15","52810","52560"
"In post","2022","Analysis","Economics","South East (England)","20","20","43090","38340"
"In post","2022","Analysis","Economics","South West (England)","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Wales","135","130","34290","30710"
"In post","2022","Analysis","Economics","West Midlands (England)","15","15","50150","46390"
"In post","2022","Analysis","Economics","Yorkshire and The Humber","35","30","41780","36820"
"In post","2022","Analysis","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","London","40","40","49290","46250"
"In post","2022","Analysis","Finance","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","North West (England)","5","5","[c]","[c]"
"In post","2022","Analysis","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","East of England","10","10","27050","29200"
"In post","2022","Analysis","Geography","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","South East (England)","10","10","[c]","[c]"
"In post","2022","Analysis","Geography","South West (England)","15","15","34100","33000"
"In post","2022","Analysis","Geography","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","West Midlands (England)","10","10","35850","33300"
"In post","2022","Analysis","Geography","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2022","Analysis","Human Resources","London","25","25","46860","44820"
"In post","2022","Analysis","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Yorkshire and The Humber","10","10","37260","35450"
"In post","2022","Analysis","Intelligence Analysis","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","London","35","35","52120","46940"
"In post","2022","Analysis","Intelligence Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","South East (England)","20","20","28740","28120"
"In post","2022","Analysis","Intelligence Analysis","South West (England)","5","5","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Wales","25","25","30440","30560"
"In post","2022","Analysis","Intelligence Analysis","West Midlands (England)","5","5","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Internal Audit","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","London","25","25","47700","44510"
"In post","2022","Analysis","Knowledge and Information Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Wales","5","5","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","London","10","10","53280","53360"
"In post","2022","Analysis","Medicine","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","East Midlands (England)","20","15","37560","31680"
"In post","2022","Analysis","Operational Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","London","170","165","43300","39840"
"In post","2022","Analysis","Operational Delivery","North East (England)","10","10","31650","29180"
"In post","2022","Analysis","Operational Delivery","North West (England)","50","50","35060","33680"
"In post","2022","Analysis","Operational Delivery","Scotland","15","15","34410","35000"
"In post","2022","Analysis","Operational Delivery","South East (England)","140","135","32040","30210"
"In post","2022","Analysis","Operational Delivery","South West (England)","20","20","34730","37520"
"In post","2022","Analysis","Operational Delivery","Wales","375","355","32200","30710"
"In post","2022","Analysis","Operational Delivery","West Midlands (England)","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Yorkshire and The Humber","40","40","42020","36820"
"In post","2022","Analysis","Operational Research","East Midlands (England)","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Research","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","London","260","250","51260","52310"
"In post","2022","Analysis","Operational Research","North East (England)","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Research","North West (England)","65","60","42950","40520"
"In post","2022","Analysis","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","Scotland","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Research","South East (England)","275","260","42830","47010"
"In post","2022","Analysis","Operational Research","South West (England)","35","35","37270","39040"
"In post","2022","Analysis","Operational Research","Wales","25","20","36460","33000"
"In post","2022","Analysis","Operational Research","West Midlands (England)","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Research","Yorkshire and The Humber","25","25","33320","33640"
"In post","2022","Analysis","Other","London","335","315","58420","53720"
"In post","2022","Analysis","Other","Scotland","40","40","48280","38210"
"In post","2022","Analysis","Other","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Other","Wales","5","5","[c]","[c]"
"In post","2022","Analysis","Other","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Other","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Policy","East Midlands (England)","10","10","38430","39240"
"In post","2022","Analysis","Policy","London","350","335","51940","53360"
"In post","2022","Analysis","Policy","North East (England)","25","20","39450","36010"
"In post","2022","Analysis","Policy","North West (England)","30","30","38400","34290"
"In post","2022","Analysis","Policy","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Policy","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Policy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Policy","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Policy","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Policy","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Policy","Yorkshire and The Humber","145","135","46650","49530"
"In post","2022","Analysis","Project Delivery","London","5","5","[c]","[c]"
"In post","2022","Analysis","Project Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Project Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Project Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Science and Engineering","East Midlands (England)","5","5","[c]","[c]"
"In post","2022","Analysis","Science and Engineering","East of England","320","305","34760","30220"
"In post","2022","Analysis","Science and Engineering","London","45","40","60310","61370"
"In post","2022","Analysis","Science and Engineering","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Science and Engineering","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Science and Engineering","Scotland","5","5","[c]","[c]"
"In post","2022","Analysis","Science and Engineering","South East (England)","95","90","39990","38070"
"In post","2022","Analysis","Science and Engineering","South West (England)","215","205","34490","30220"
"In post","2022","Analysis","Science and Engineering","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Science and Engineering","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Science and Engineering","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2022","Analysis","Security","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Social Research","East Midlands (England)","5","5","[c]","[c]"
"In post","2022","Analysis","Social Research","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Social Research","London","375","365","46740","42460"
"In post","2022","Analysis","Social Research","North East (England)","10","10","33770","30710"
"In post","2022","Analysis","Social Research","North West (England)","50","50","42540","40520"
"In post","2022","Analysis","Social Research","Scotland","5","5","[c]","[c]"
"In post","2022","Analysis","Social Research","South East (England)","235","220","39160","38340"
"In post","2022","Analysis","Social Research","South West (England)","15","10","45960","42750"
"In post","2022","Analysis","Social Research","Wales","355","335","39070","38340"
"In post","2022","Analysis","Social Research","West Midlands (England)","10","10","32530","31700"
"In post","2022","Analysis","Social Research","Yorkshire and The Humber","25","25","36780","35360"
"In post","2022","Analysis","Statistics","East Midlands (England)","10","10","37550","39390"
"In post","2022","Analysis","Statistics","East of England","30","30","46100","40520"
"In post","2022","Analysis","Statistics","London","840","815","47890","43490"
"In post","2022","Analysis","Statistics","North East (England)","105","100","42640","37020"
"In post","2022","Analysis","Statistics","North West (England)","155","155","40030","33990"
"In post","2022","Analysis","Statistics","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Statistics","Scotland","35","35","39970","37710"
"In post","2022","Analysis","Statistics","South East (England)","200","190","40870","38340"
"In post","2022","Analysis","Statistics","South West (England)","175","160","39540","36300"
"In post","2022","Analysis","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Statistics","Wales","360","350","42140","38340"
"In post","2022","Analysis","Statistics","West Midlands (England)","30","30","38030","33990"
"In post","2022","Analysis","Statistics","Yorkshire and The Humber","120","115","42980","36950"
"In post","2022","Analysis","Tax","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Tax","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Tax","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Tax","North West (England)","5","5","[c]","[c]"
