"Status","Year","Region_ITL2","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","AA","245","230","21100","21760"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","AO","940","880","25820","24290"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","EO","1610","1500","29030","29290"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","G6","110","110","70540","68500"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","G7","300","285","57970","56130"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","HEO","625","605","35390","35120"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","SCS level","40","40","89690","88300"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","SEO","420","405","44000","43810"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","Unknown","405","375","29580","28200"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","AA","540","515","20960","20890"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","AO","2730","2590","26970","25110"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","EO","2330","2200","29470","28350"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","G6","195","185","72020","69710"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","G7","590","550","56560","55150"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","HEO","1420","1355","35030","34290"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SCS level","65","60","98920","97110"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SEO","1010","975","43390","42000"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","655","615","28950","25790"
"In post","2022","Cheshire","Outside London","AA","165","155","20650","20890"
"In post","2022","Cheshire","Outside London","AO","1185","1080","23550","21300"
"In post","2022","Cheshire","Outside London","EO","1370","1300","29770","28840"
"In post","2022","Cheshire","Outside London","G6","65","65","68770","65590"
"In post","2022","Cheshire","Outside London","G7","230","220","54250","53690"
"In post","2022","Cheshire","Outside London","HEO","685","665","36290","36740"
"In post","2022","Cheshire","Outside London","SCS level","15","15","85160","80540"
"In post","2022","Cheshire","Outside London","SEO","375","360","43620","45480"
"In post","2022","Cheshire","Outside London","Unknown","290","265","29030","27370"
"In post","2022","Cornwall and Isles of Scilly","Outside London","AA","110","100","19450","19200"
"In post","2022","Cornwall and Isles of Scilly","Outside London","AO","610","555","21510","21260"
"In post","2022","Cornwall and Isles of Scilly","Outside London","EO","590","540","27320","27570"
"In post","2022","Cornwall and Isles of Scilly","Outside London","G6","20","15","70530","66150"
"In post","2022","Cornwall and Isles of Scilly","Outside London","G7","65","60","55150","51760"
"In post","2022","Cornwall and Isles of Scilly","Outside London","HEO","180","170","33040","33000"
"In post","2022","Cornwall and Isles of Scilly","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Outside London","SEO","95","90","40390","38260"
"In post","2022","Cornwall and Isles of Scilly","Outside London","Unknown","95","85","29380","26310"
"In post","2022","Cumbria","Outside London","AA","80","75","20240","19810"
"In post","2022","Cumbria","Outside London","AO","870","780","22470","21300"
"In post","2022","Cumbria","Outside London","EO","600","550","26290","26030"
"In post","2022","Cumbria","Outside London","G6","20","20","63390","60250"
"In post","2022","Cumbria","Outside London","G7","90","85","54410","50430"
"In post","2022","Cumbria","Outside London","HEO","210","195","31140","30450"
"In post","2022","Cumbria","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Cumbria","Outside London","SEO","135","125","39980","37230"
"In post","2022","Cumbria","Outside London","Unknown","310","290","36790","33500"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","AA","390","365","20460","20890"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","AO","3530","3210","22910","21260"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","EO","3735","3450","27200","27130"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","G6","315","305","68470","67910"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","G7","1035","995","54750","55210"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","HEO","2410","2295","33060","33370"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","SCS level","75","75","92900","87400"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","SEO","1440","1375","41390","40520"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","Unknown","775","695","29470","28200"
"In post","2022","Devon","Outside London","AA","585","555","20330","19810"
"In post","2022","Devon","Outside London","AO","2450","2175","23330","21380"
"In post","2022","Devon","Outside London","EO","2245","2030","27450","27570"
"In post","2022","Devon","Outside London","G6","270","255","64790","60740"
"In post","2022","Devon","Outside London","G7","735","700","51410","48830"
"In post","2022","Devon","Outside London","HEO","1285","1210","34040","33300"
"In post","2022","Devon","Outside London","SCS level","35","30","94210","91960"
"In post","2022","Devon","Outside London","SEO","1220","1160","41390","40000"
"In post","2022","Devon","Outside London","Unknown","490","460","31090","28250"
"In post","2022","Dorset and Somerset","Outside London","AA","365","340","20180","19810"
"In post","2022","Dorset and Somerset","Outside London","AO","1310","1220","23540","21510"
"In post","2022","Dorset and Somerset","Outside London","EO","1620","1485","27430","27570"
"In post","2022","Dorset and Somerset","Outside London","G6","80","75","70690","68440"
"In post","2022","Dorset and Somerset","Outside London","G7","190","185","55330","53720"
"In post","2022","Dorset and Somerset","Outside London","HEO","925","880","33540","33290"
"In post","2022","Dorset and Somerset","Outside London","SCS level","10","10","97420","96250"
"In post","2022","Dorset and Somerset","Outside London","SEO","595","570","42550","42510"
"In post","2022","Dorset and Somerset","Outside London","Unknown","365","330","28810","26310"
"In post","2022","East Anglia","Outside London","AA","905","845","20370","20890"
"In post","2022","East Anglia","Outside London","AO","3910","3580","24630","21960"
"In post","2022","East Anglia","Outside London","EO","3295","3040","27740","27570"
"In post","2022","East Anglia","Outside London","G6","185","175","69020","67000"
"In post","2022","East Anglia","Outside London","G7","565","545","54250","52330"
"In post","2022","East Anglia","Outside London","HEO","1965","1880","33250","33180"
"In post","2022","East Anglia","Outside London","SCS level","65","60","100950","97990"
"In post","2022","East Anglia","Outside London","SEO","1160","1110","41860","40580"
"In post","2022","East Anglia","Outside London","Unknown","870","795","28390","26310"
"In post","2022","East Wales","Outside London","AA","440","415","20050","19810"
"In post","2022","East Wales","Outside London","AO","4915","4450","22220","21260"
"In post","2022","East Wales","Outside London","EO","5135","4815","27080","26820"
"In post","2022","East Wales","Outside London","G6","565","545","68020","67380"
"In post","2022","East Wales","Outside London","G7","2180","2095","55580","55210"
"In post","2022","East Wales","Outside London","HEO","3875","3705","33400","33110"
"In post","2022","East Wales","Outside London","SCS level","275","270","86030","78460"
"In post","2022","East Wales","Outside London","SEO","2840","2730","41790","40520"
"In post","2022","East Wales","Outside London","Unknown","625","590","29620","28200"
"In post","2022","East Yorkshire and Northern Lincolnshire","Outside London","AA","305","285","20950","20890"
"In post","2022","East Yorkshire and Northern Lincolnshire","Outside London","AO","1830","1655","24610","23140"
"In post","2022","East Yorkshire and Northern Lincolnshire","Outside London","EO","1640","1500","27800","27570"
"In post","2022","East Yorkshire and Northern Lincolnshire","Outside London","G6","30","30","67490","61680"
"In post","2022","East Yorkshire and Northern Lincolnshire","Outside London","G7","105","100","56310","54700"
"In post","2022","East Yorkshire and Northern Lincolnshire","Outside London","HEO","435","405","33660","33370"
