"Status","Year","Function_of_post","Parent_department","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Attorney General's Departments","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","London","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","London","EO","10","10","28770","28230"
"In post","2022","Analysis","Chancellor's other departments","London","G6","90","80","92330","88150"
"In post","2022","Analysis","Chancellor's other departments","London","G7","30","30","56950","57250"
"In post","2022","Analysis","Chancellor's other departments","London","HEO","40","40","37470","36590"
"In post","2022","Analysis","Chancellor's other departments","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","London","SEO","20","20","47030","48300"
"In post","2022","Analysis","Chancellor's other departments","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Outside London","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","London","G6","30","30","76040","74810"
"In post","2022","Analysis","Competition and Markets Authority","London","G7","50","50","57060","56360"
"In post","2022","Analysis","Competition and Markets Authority","London","HEO","20","20","34170","33610"
"In post","2022","Analysis","Competition and Markets Authority","London","SCS level","15","15","107830","97750"
"In post","2022","Analysis","Competition and Markets Authority","London","SEO","10","10","44700","43880"
"In post","2022","Analysis","Competition and Markets Authority","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","EO","30","30","28550","27680"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","G6","20","20","71270","69240"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","G7","55","55","57890","57620"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","HEO","125","125","35880","34690"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","SEO","20","20","45340","46010"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","EO","25","25","26250","24570"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","G7","15","15","54940","56180"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","HEO","40","35","33190","32100"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","SEO","35","35","42930","43050"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","G6","15","15","64720","63140"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","G7","55","55","56260","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","HEO","55","55","38050","38020"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Outside London","HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Education","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","London","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education","London","G7","20","20","54400","53470"
"In post","2022","Analysis","Department for Education","London","HEO","15","15","37120","36760"
"In post","2022","Analysis","Department for Education","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","London","SEO","20","20","45220","45250"
"In post","2022","Analysis","Department for Education","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Outside London","EO","15","15","26620","25000"
"In post","2022","Analysis","Department for Education","Outside London","G6","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Education","Outside London","G7","35","35","50930","50130"
"In post","2022","Analysis","Department for Education","Outside London","HEO","35","30","31980","32870"
"In post","2022","Analysis","Department for Education","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Outside London","SEO","40","35","41470","41990"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Outside London","AO","30","30","21220","21510"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Outside London","EO","125","120","25280","25010"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Outside London","G6","25","25","61400","59120"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Outside London","G7","65","60","48870","48080"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Outside London","HEO","150","145","29820","29750"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Outside London","SEO","120","115","37110","36580"
"In post","2022","Analysis","Department for International Trade","London","EO","30","30","27030","26250"
"In post","2022","Analysis","Department for International Trade","London","G6","25","25","65370","63910"
"In post","2022","Analysis","Department for International Trade","London","G7","85","85","53440","51970"
"In post","2022","Analysis","Department for International Trade","London","HEO","85","85","32120","31800"
"In post","2022","Analysis","Department for International Trade","London","SCS level","10","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","London","SEO","20","20","39760","39590"
"In post","2022","Analysis","Department for International Trade","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","London","EO","20","20","28970","27850"
