"Status","Year","Age","Region_ITL1","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","East Midlands (England)","Outside London","AA","10","10","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Outside London","AO","40","40","21970","21260"
"In post","2022","16-19","East Midlands (England)","Outside London","EO","5","5","[c]","[c]"
"In post","2022","16-19","East of England","Outside London","AA","10","10","[c]","[c]"
"In post","2022","16-19","East of England","Outside London","AO","35","35","22420","21680"
"In post","2022","16-19","East of England","Outside London","EO","5","5","[c]","[c]"
"In post","2022","16-19","London","London","AA","10","5","21990","22350"
"In post","2022","16-19","London","London","AO","60","60","24620","24750"
"In post","2022","16-19","London","London","EO","70","70","26630","26970"
"In post","2022","16-19","London","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","Outside London","AO","60","60","21310","21250"
"In post","2022","16-19","North East (England)","Outside London","EO","10","10","25370","25600"
"In post","2022","16-19","North East (England)","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Outside London","AA","10","5","[c]","[c]"
"In post","2022","16-19","North West (England)","Outside London","AO","110","110","21360","21250"
"In post","2022","16-19","North West (England)","Outside London","EO","30","30","25900","25480"
"In post","2022","16-19","North West (England)","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Outside London","AA","50","50","21330","21050"
"In post","2022","16-19","Scotland","Outside London","AO","75","70","21570","21250"
"In post","2022","16-19","Scotland","Outside London","EO","15","15","22230","18030"
"In post","2022","16-19","South East (England)","Outside London","AA","20","20","20360","20890"
"In post","2022","16-19","South East (England)","Outside London","AO","70","70","23800","22870"
"In post","2022","16-19","South East (England)","Outside London","EO","20","20","23610","24880"
"In post","2022","16-19","South East (England)","Outside London","Unknown","25","25","19200","19110"
"In post","2022","16-19","South West (England)","Outside London","AA","25","25","18240","19100"
"In post","2022","16-19","South West (England)","Outside London","AO","35","35","22170","22230"
"In post","2022","16-19","South West (England)","Outside London","EO","100","100","19310","19460"
