"Status","Year","Ethnicity","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Mixed","Foreign, Commonwealth and Development Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Land Registry","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Land Registry","AA/AO","AO","25","25","[c]","[c]"
"In post","2022","Mixed","HM Land Registry","EO","EO","25","25","[c]","[c]"
"In post","2022","Mixed","HM Land Registry","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Land Registry","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Land Registry","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Land Registry","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Mixed","HM Land Registry","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2022","Mixed","HM Revenue and Customs","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Revenue and Customs","AA/AO","AO","210","195","21810","21250"
"In post","2022","Mixed","HM Revenue and Customs","EO","EO","215","205","27590","26820"
"In post","2022","Mixed","HM Revenue and Customs","G6/G7","G6","45","40","72240","73430"
"In post","2022","Mixed","HM Revenue and Customs","G6/G7","G7","90","90","57830","56160"
"In post","2022","Mixed","HM Revenue and Customs","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Mixed","HM Revenue and Customs","SEO/HEO","HEO","260","250","34460","33370"
"In post","2022","Mixed","HM Revenue and Customs","SEO/HEO","SEO","110","105","42120","40520"
"In post","2022","Mixed","HM Treasury","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Mixed","HM Treasury","EO","EO","10","10","[c]","[c]"
"In post","2022","Mixed","HM Treasury","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Mixed","HM Treasury","G6/G7","G7","35","35","53590","52840"
"In post","2022","Mixed","HM Treasury","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Mixed","HM Treasury","SEO/HEO","HEO","40","40","34880","32950"
"In post","2022","Mixed","HM Treasury","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Home Office","AA/AO","AA","10","10","[c]","[c]"
"In post","2022","Mixed","Home Office","AA/AO","AO","120","100","23100","21680"
"In post","2022","Mixed","Home Office","EO","EO","250","230","27320","27370"
"In post","2022","Mixed","Home Office","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Mixed","Home Office","G6/G7","G7","80","80","57400","57460"
"In post","2022","Mixed","Home Office","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Mixed","Home Office","SEO/HEO","HEO","105","105","34230","35050"
"In post","2022","Mixed","Home Office","SEO/HEO","SEO","90","85","41940","41970"
"In post","2022","Mixed","Home Office","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Mixed","Ministry of Defence","AA/AO","AA","25","25","[c]","[c]"
"In post","2022","Mixed","Ministry of Defence","AA/AO","AO","100","100","24310","21830"
"In post","2022","Mixed","Ministry of Defence","EO","EO","110","110","27310","26670"
"In post","2022","Mixed","Ministry of Defence","G6/G7","G6","20","15","[c]","[c]"
"In post","2022","Mixed","Ministry of Defence","G6/G7","G7","75","75","56510","57480"
"In post","2022","Mixed","Ministry of Defence","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Mixed","Ministry of Defence","SEO/HEO","HEO","175","170","32630","33000"
"In post","2022","Mixed","Ministry of Defence","SEO/HEO","SEO","110","110","41220","41090"
"In post","2022","Mixed","Ministry of Defence","Unknown","Unknown","15","15","[c]","[c]"
"In post","2022","Mixed","Ministry of Justice","AA/AO","AA","100","95","21630","20890"
"In post","2022","Mixed","Ministry of Justice","AA/AO","AO","650","615","26200","25130"
"In post","2022","Mixed","Ministry of Justice","EO","EO","210","205","28820","28310"
"In post","2022","Mixed","Ministry of Justice","G6/G7","G6","25","25","[c]","[c]"
"In post","2022","Mixed","Ministry of Justice","G6/G7","G7","55","55","59080","58200"
"In post","2022","Mixed","Ministry of Justice","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Mixed","Ministry of Justice","SEO/HEO","HEO","190","180","34620","34260"
"In post","2022","Mixed","Ministry of Justice","SEO/HEO","SEO","130","130","44890","42300"
"In post","2022","Mixed","Ministry of Justice","Unknown","Unknown","535","505","30740","28320"
"In post","2022","Mixed","National Crime Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","National Crime Agency","EO","EO","60","55","34230","34140"
"In post","2022","Mixed","National Crime Agency","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","National Crime Agency","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Mixed","National Crime Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","National Crime Agency","SEO/HEO","HEO","25","25","[c]","[c]"
"In post","2022","Mixed","National Crime Agency","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2022","Mixed","Northern Ireland Office","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Northern Ireland Office","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Northern Ireland Office","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Northern Ireland Office","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Northern Ireland Office","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Northern Ireland Office","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Northern Ireland Office","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office for Standards in Education, Children's Services and Skills","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office for Standards in Education, Children's Services and Skills","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office for Standards in Education, Children's Services and Skills","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office for Standards in Education, Children's Services and Skills","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office for Standards in Education, Children's Services and Skills","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office for Standards in Education, Children's Services and Skills","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office for Standards in Education, Children's Services and Skills","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office for Standards in Education, Children's Services and Skills","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Gas and Electricity Markets","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Gas and Electricity Markets","EO","EO","15","15","[c]","[c]"
"In post","2022","Mixed","Office of Gas and Electricity Markets","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Gas and Electricity Markets","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Mixed","Office of Gas and Electricity Markets","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Gas and Electricity Markets","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Mixed","Office of Gas and Electricity Markets","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Mixed","Office of Qualifications and Examinations Regulation","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Qualifications and Examinations Regulation","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Qualifications and Examinations Regulation","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Qualifications and Examinations Regulation","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Qualifications and Examinations Regulation","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Qualifications and Examinations Regulation","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Qualifications and Examinations Regulation","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Rail and Road","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Rail and Road","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Rail and Road","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Rail and Road","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Rail and Road","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Rail and Road","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Rail and Road","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Scotland","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Scotland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Scotland","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Scotland","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Scotland","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Scotland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Scotland","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Scotland","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Wales","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Wales","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Wales","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Wales","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Wales","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Wales","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Wales","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Wales","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Scottish Government","AA/AO","AA","10","10","[c]","[c]"
"In post","2022","Mixed","Scottish Government","AA/AO","AO","15","15","[c]","[c]"
"In post","2022","Mixed","Scottish Government","EO","EO","30","25","[c]","[c]"
"In post","2022","Mixed","Scottish Government","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Mixed","Scottish Government","G6/G7","G7","20","20","[c]","[c]"
"In post","2022","Mixed","Scottish Government","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Scottish Government","SEO/HEO","HEO","35","35","34300","34600"
"In post","2022","Mixed","Scottish Government","SEO/HEO","SEO","30","30","44230","43330"
"In post","2022","Mixed","The National Archives","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","The National Archives","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","The National Archives","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","The National Archives","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","The National Archives","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","The National Archives","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","The National Archives","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Mixed","The National Archives","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Mixed","UK Export Finance","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","UK Export Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","UK Export Finance","EO","EO","5","5","[c]","[c]"
"In post","2022","Mixed","UK Export Finance","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","UK Export Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","UK Export Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","UK Export Finance","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","UK Export Finance","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Mixed","UK Statistics Authority","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","UK Statistics Authority","AA/AO","AO","20","15","[c]","[c]"
"In post","2022","Mixed","UK Statistics Authority","EO","EO","10","10","[c]","[c]"
"In post","2022","Mixed","UK Statistics Authority","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","UK Statistics Authority","G6/G7","G7","15","15","[c]","[c]"
"In post","2022","Mixed","UK Statistics Authority","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","UK Statistics Authority","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2022","Mixed","UK Statistics Authority","SEO/HEO","SEO","20","20","[c]","[c]"
"In post","2022","Mixed","UK Supreme Court","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","UK Supreme Court","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","UK Supreme Court","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","UK Supreme Court","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","UK Supreme Court","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","UK Supreme Court","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","UK Supreme Court","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Water Services Regulation Authority","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Water Services Regulation Authority","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Water Services Regulation Authority","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Water Services Regulation Authority","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Water Services Regulation Authority","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Water Services Regulation Authority","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Water Services Regulation Authority","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Welsh Government","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Mixed","Welsh Government","EO","EO","15","15","[c]","[c]"
"In post","2022","Mixed","Welsh Government","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Welsh Government","G6/G7","G7","15","15","[c]","[c]"
"In post","2022","Mixed","Welsh Government","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Welsh Government","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Mixed","Welsh Government","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Attorney General's Departments","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Attorney General's Departments","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Attorney General's Departments","EO","EO","20","20","[c]","[c]"
"In post","2022","Other ethnicity","Attorney General's Departments","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Attorney General's Departments","G6/G7","G7","35","30","54620","52730"
"In post","2022","Other ethnicity","Attorney General's Departments","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Attorney General's Departments","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Attorney General's Departments","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Cabinet Office","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Cabinet Office","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Cabinet Office","EO","EO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Cabinet Office","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Cabinet Office","G6/G7","G7","20","20","[c]","[c]"
"In post","2022","Other ethnicity","Cabinet Office","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Cabinet Office","SEO/HEO","HEO","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Cabinet Office","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Chancellor's other departments","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Chancellor's other departments","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Chancellor's other departments","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Chancellor's other departments","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Chancellor's other departments","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Chancellor's other departments","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Chancellor's other departments","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Charity Commission","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Charity Commission","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Charity Commission","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Charity Commission","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Charity Commission","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Charity Commission","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Charity Commission","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Competition and Markets Authority","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Competition and Markets Authority","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Competition and Markets Authority","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Competition and Markets Authority","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Competition and Markets Authority","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Competition and Markets Authority","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Competition and Markets Authority","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Business, Energy and Industrial Strategy","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Business, Energy and Industrial Strategy","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Department for Business, Energy and Industrial Strategy","EO","EO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Department for Business, Energy and Industrial Strategy","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Department for Business, Energy and Industrial Strategy","G6/G7","G7","35","35","54130","53380"
"In post","2022","Other ethnicity","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","25","25","[c]","[c]"
"In post","2022","Other ethnicity","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","30","30","[c]","[c]"
"In post","2022","Other ethnicity","Department for Digital, Culture, Media and Sport","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Digital, Culture, Media and Sport","EO","EO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Department for Digital, Culture, Media and Sport","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Digital, Culture, Media and Sport","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Department for Digital, Culture, Media and Sport","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Department for Education","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Education","EO","EO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Department for Education","G6/G7","G6","10","5","[c]","[c]"
"In post","2022","Other ethnicity","Department for Education","G6/G7","G7","20","20","[c]","[c]"
"In post","2022","Other ethnicity","Department for Education","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Education","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Department for Education","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","EO","EO","15","10","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","G6/G7","G7","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","20","20","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","EO","EO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","SEO/HEO","HEO","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","EO","EO","25","20","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Department for Work and Pensions","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Work and Pensions","AA/AO","AO","125","110","22120","21260"
"In post","2022","Other ethnicity","Department for Work and Pensions","EO","EO","285","265","29310","29290"
"In post","2022","Other ethnicity","Department for Work and Pensions","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Work and Pensions","G6/G7","G7","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Department for Work and Pensions","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Work and Pensions","SEO/HEO","HEO","40","40","35250","36650"
"In post","2022","Other ethnicity","Department for Work and Pensions","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Department of Health and Social Care","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department of Health and Social Care","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Department of Health and Social Care","EO","EO","20","20","[c]","[c]"
"In post","2022","Other ethnicity","Department of Health and Social Care","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Department of Health and Social Care","G6/G7","G7","25","25","[c]","[c]"
"In post","2022","Other ethnicity","Department of Health and Social Care","SCS level","SCS level","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Department of Health and Social Care","SEO/HEO","HEO","25","20","[c]","[c]"
"In post","2022","Other ethnicity","Department of Health and Social Care","SEO/HEO","SEO","25","25","[c]","[c]"
"In post","2022","Other ethnicity","Estyn","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Estyn","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Estyn","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Estyn","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Estyn","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Estyn","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Estyn","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Food Standards Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Food Standards Agency","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Food Standards Agency","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Food Standards Agency","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Food Standards Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Food Standards Agency","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Food Standards Agency","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Foreign, Commonwealth and Development Office","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Foreign, Commonwealth and Development Office","AA/AO","AO","5","5","[c]","[c]"
