"Status","Year","Ethnicity","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","G6/G7","G6","15","10","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","G6/G7","G7","70","70","53290","52290"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","120","120","32640","32560"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","85","85","38910","38750"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","EO","EO","30","30","27120","26510"
"In post","2022","Asian","Department for International Trade","G6/G7","G6","20","20","[c]","[c]"
"In post","2022","Asian","Department for International Trade","G6/G7","G7","70","70","54880","53750"
"In post","2022","Asian","Department for International Trade","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Department for International Trade","SEO/HEO","HEO","70","70","32960","31800"
"In post","2022","Asian","Department for International Trade","SEO/HEO","SEO","70","70","40310","38540"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","EO","EO","45","45","28160","27850"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","G6/G7","G6","30","30","64620","63470"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","G6/G7","G7","60","60","52490","53130"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","SEO/HEO","HEO","100","95","33280","33210"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","SEO/HEO","SEO","65","60","38990","39600"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport","AA/AO","AA","10","10","[c]","[c]"
"In post","2022","Asian","Department for Transport","AA/AO","AO","110","100","23520","21840"
"In post","2022","Asian","Department for Transport","EO","EO","150","145","28580","29610"
"In post","2022","Asian","Department for Transport","G6/G7","G6","35","35","70560","66090"
"In post","2022","Asian","Department for Transport","G6/G7","G7","90","90","56390","54760"
"In post","2022","Asian","Department for Transport","SCS level","SCS level","10","10","[c]","[c]"
