"Status","Year","Function_of_post","Region_ITL1","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","East Midlands (England)","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","EO","Female","10","5","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","EO","Male","5","5","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","G6/G7","Female","5","5","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2022","Analysis","East of England","AA/AO","Female","10","10","[c]","[c]"
"In post","2022","Analysis","East of England","AA/AO","Male","15","15","[c]","[c]"
"In post","2022","Analysis","East of England","EO","Female","40","40","25340","25010"
"In post","2022","Analysis","East of England","EO","Male","25","25","[c]","[c]"
"In post","2022","Analysis","East of England","G6/G7","Female","20","20","[c]","[c]"
"In post","2022","Analysis","East of England","G6/G7","Male","55","55","53470","49970"
"In post","2022","Analysis","East of England","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","SEO/HEO","Female","105","100","34130","35900"
"In post","2022","Analysis","East of England","SEO/HEO","Male","105","105","34120","35900"
"In post","2022","Analysis","London","AA/AO","Female","35","30","24630","25000"
"In post","2022","Analysis","London","AA/AO","Male","35","30","24210","23690"
"In post","2022","Analysis","London","EO","Female","150","150","28690","28310"
"In post","2022","Analysis","London","EO","Male","150","150","29000","28820"
"In post","2022","Analysis","London","G6/G7","Female","710","655","61660","60240"
"In post","2022","Analysis","London","G6/G7","Male","900","885","62830","59540"
"In post","2022","Analysis","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","SCS level","Female","65","60","87060","81000"
"In post","2022","Analysis","London","SCS level","Male","80","75","96130","83360"
"In post","2022","Analysis","London","SEO/HEO","Female","720","705","38440","37930"
"In post","2022","Analysis","London","SEO/HEO","Male","905","895","38330","37930"
"In post","2022","Analysis","London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","Analysis","North East (England)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","EO","Male","10","10","[c]","[c]"
"In post","2022","Analysis","North East (England)","G6/G7","Female","30","30","54700","52150"
"In post","2022","Analysis","North East (England)","G6/G7","Male","25","25","[c]","[c]"
"In post","2022","Analysis","North East (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","SEO/HEO","Female","60","55","33960","33430"
"In post","2022","Analysis","North East (England)","SEO/HEO","Male","50","50","34280","33080"
"In post","2022","Analysis","North West (England)","AA/AO","Female","10","10","[c]","[c]"
"In post","2022","Analysis","North West (England)","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","Analysis","North West (England)","EO","Female","15","15","[c]","[c]"
"In post","2022","Analysis","North West (England)","EO","Male","30","30","[c]","[c]"
"In post","2022","Analysis","North West (England)","G6/G7","Female","55","50","55110","55210"
"In post","2022","Analysis","North West (England)","G6/G7","Male","60","55","56480","55210"
"In post","2022","Analysis","North West (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North West (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North West (England)","SEO/HEO","Female","130","125","35840","33370"
