"Status","Year","Ethnicity","Region_ITL2","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Outside London","Female","375","340","32330","29290"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Outside London","Male","210","205","33190","29290"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","370","330","30350","28920"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","265","255","32000","28700"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cheshire","Outside London","Female","45","40","27510","26670"
"In post","2022","Asian","Cheshire","Outside London","Male","45","45","30050","27570"
"In post","2022","Asian","Cheshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Asian","Cumbria","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","Outside London","Female","495","445","30580","27570"
"In post","2022","Asian","Derbyshire and Nottinghamshire","Outside London","Male","385","370","31460","27570"
"In post","2022","Asian","Derbyshire and Nottinghamshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Devon","Outside London","Female","30","30","33970","28830"
"In post","2022","Asian","Devon","Outside London","Male","35","35","32290","27200"
"In post","2022","Asian","Devon","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Anglia","Outside London","Female","205","170","25910","22010"
"In post","2022","Asian","East Anglia","Outside London","Male","180","165","29870","26840"
