"Status","Year","Profession_of_post","Region_ITL1","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","East Midlands (England)","East Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Leicester","Outside London","10","10","34560","30870"
"In post","2022","Commercial","East Midlands (England)","Leicestershire CC and Rutland","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Lincolnshire CC","Outside London","15","15","39820","38550"
"In post","2022","Commercial","East Midlands (England)","North Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","North Nottinghamshire","Outside London","10","10","47030","43480"
"In post","2022","Commercial","East Midlands (England)","Nottingham","Outside London","50","45","39330","38020"
"In post","2022","Commercial","East Midlands (England)","South and West Derbyshire","Outside London","25","25","47900","45870"
"In post","2022","Commercial","East Midlands (England)","South Nottinghamshire","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","West Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","Cambridgeshire CC","Outside London","50","50","35220","34610"
"In post","2022","Commercial","East of England","Central Bedfordshire","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","East of England","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","Hertfordshire CC","Outside London","10","10","[c]","[c]"
"In post","2022","Commercial","East of England","North and West Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","Norwich and East Norfolk","Outside London","70","70","36420","38330"
"In post","2022","Commercial","East of England","Peterborough","Outside London","30","30","42450","37380"
"In post","2022","Commercial","East of England","Suffolk CC","Outside London","25","25","42200","39430"
"In post","2022","Commercial","East of England","West Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Barking & Dagenham and Havering","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Barnet","London","15","15","45090","41210"
"In post","2022","Commercial","London","Bexley and Greenwich","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Brent","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Camden and City of London","London","5","5","[c]","[c]"
"In post","2022","Commercial","London","Croydon","London","110","110","43240","41950"
"In post","2022","Commercial","London","Enfield","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Hackney and Newham","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Haringey and Islington","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Harrow and Hillingdon","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Hounslow and Richmond upon Thames","London","45","40","34170","25340"
"In post","2022","Commercial","London","Kensington & Chelsea and Hammersmith & Fulham","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Lambeth","London","40","40","50810","53120"
"In post","2022","Commercial","London","Lewisham and Southwark","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Merton, Kingston upon Thames and Sutton","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Tower Hamlets","London","55","55","44020","42010"
"In post","2022","Commercial","London","Westminster","London","810","790","47860","42470"
"In post","2022","Commercial","North East (England)","Darlington","Outside London","70","70","37490","36500"
"In post","2022","Commercial","North East (England)","Durham","Outside London","20","20","40640","41740"
"In post","2022","Commercial","North East (England)","Hartlepool and Stockton-on-Tees","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","North East (England)","Northumberland","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","North East (England)","Sunderland","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","North East (England)","Tyneside","Outside London","75","70","37170","36500"
"In post","2022","Commercial","North West (England)","Blackburn with Darwen","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","Blackpool","Outside London","40","40","36360","31990"
"In post","2022","Commercial","North West (England)","Cheshire East","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","North West (England)","Cheshire West and Chester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","Chorley and West Lancashire","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","North West (England)","East Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","East Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","East Merseyside","Outside London","25","25","40430","36820"
"In post","2022","Commercial","North West (England)","Greater Manchester North East","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","Greater Manchester North West","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","Greater Manchester South West","Outside London","85","80","40170","40520"
"In post","2022","Commercial","North West (England)","Lancaster and Wyre","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","Liverpool","Outside London","190","190","35750","33910"
"In post","2022","Commercial","North West (England)","Manchester","Outside London","150","150","38890","36500"
"In post","2022","Commercial","North West (England)","Mid Lancashire","Outside London","15","10","36540","32170"
"In post","2022","Commercial","North West (England)","Sefton","Outside London","15","15","38850","36350"
"In post","2022","Commercial","North West (England)","Warrington","Outside London","20","20","38380","37150"
"In post","2022","Commercial","North West (England)","West Cumbria","Outside London","15","15","40490","37400"
