"Status","Year","Ethnicity","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Dorset and Somerset","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","HEO","5","5","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Anglia","AA","20","20","[c]","[c]"
"In post","2022","Asian","East Anglia","AO","165","135","22300","21680"
"In post","2022","Asian","East Anglia","EO","105","95","26840","26930"
"In post","2022","Asian","East Anglia","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Anglia","G7","15","15","[c]","[c]"
"In post","2022","Asian","East Anglia","HEO","40","35","33450","32690"
"In post","2022","Asian","East Anglia","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Anglia","SEO","25","25","[c]","[c]"
"In post","2022","Asian","East Anglia","Unknown","10","5","[c]","[c]"
"In post","2022","Asian","East Wales","AA","10","5","[c]","[c]"
"In post","2022","Asian","East Wales","AO","120","115","21530","21250"
"In post","2022","Asian","East Wales","EO","115","110","26580","26820"
"In post","2022","Asian","East Wales","G6","10","10","[c]","[c]"
"In post","2022","Asian","East Wales","G7","35","35","56170","54360"
"In post","2022","Asian","East Wales","HEO","95","90","33100","33080"
"In post","2022","Asian","East Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Wales","SEO","50","50","41520","39910"
"In post","2022","Asian","East Wales","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","East Yorkshire and Northern Lincolnshire","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Yorkshire and Northern Lincolnshire","AO","15","15","[c]","[c]"
"In post","2022","Asian","East Yorkshire and Northern Lincolnshire","EO","10","10","[c]","[c]"
"In post","2022","Asian","East Yorkshire and Northern Lincolnshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Yorkshire and Northern Lincolnshire","G7","[c]","[c]","[c]","[c]"
