"Status","Year","Age","Ethnicity","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Levelling Up, Housing and Communities","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Levelling Up, Housing and Communities","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Work and Pensions","London","10","10","[c]","[c]"
"In post","2022","16-19","Asian","Department for Work and Pensions","Outside London","25","25","[c]","[c]"
"In post","2022","16-19","Asian","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department of Health and Social Care","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department of Health and Social Care","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","HM Revenue and Customs","Outside London","25","25","[c]","[c]"
"In post","2022","16-19","Asian","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Home Office","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Home Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Ministry of Justice","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","UK Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
