"Status","Year","Age","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Operational Delivery","30","30","21600","21350"
"In post","2022","16-19","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Unknown","15","15","24960","24300"
"In post","2022","16-19","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","15","15","22820","21690"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","Policy","10","10","[c]","[c]"
"In post","2022","16-19","Department for Education","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","15","15","21320","21300"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Policy","20","15","23760","25170"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","Policy","10","10","[c]","[c]"
"In post","2022","16-19","Department for Transport","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","Operational Delivery","85","70","19370","18310"
"In post","2022","16-19","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Counter Fraud","10","10","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Operational Delivery","90","90","23080","21260"
"In post","2022","16-19","Department for Work and Pensions","Other","35","35","22730","21260"
"In post","2022","16-19","Department for Work and Pensions","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Unknown","10","10","21790","21260"
"In post","2022","16-19","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care","Operational Delivery","15","10","21350","22350"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","Communications","[c]","[c]","[c]","[c]"
