"Status","Year","Age","Parent_department","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Attorney General's Departments","Bedfordshire and Hertfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Derbyshire and Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","East Anglia","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Essex","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Greater Manchester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Hampshire and Isle of Wight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Inner London - West","AA/AO","10","10","21990","21850"
"In post","2022","16-19","Attorney General's Departments","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Inner London - West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Kent","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Merseyside","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","North Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Northumberland, and Tyne and Wear","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","South Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Surrey, East and West Sussex","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","West Midlands","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","West Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Inner London - West","EO","5","5","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Northumberland, and Tyne and Wear","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","West Midlands","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","West Midlands","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","West Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Chancellor's other departments","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Merseyside","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Devon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","East Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Greater Manchester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Inner London - West","EO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Kent","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","North Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","Greater Manchester","EO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Education","Greater Manchester","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","South Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","West Midlands","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","West Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Derbyshire and Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Devon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","East Anglia","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","East Anglia","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Herefordshire, Worcestershire and Warwickshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Inner London - West","EO","10","10","25170","25170"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Lancashire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","North Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","North Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Northumberland, and Tyne and Wear","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Northumberland, and Tyne and Wear","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Northumberland, and Tyne and Wear","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Shropshire and Staffordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Surrey, East and West Sussex","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","West Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","Merseyside","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","West Midlands","EO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Transport","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","Hampshire and Isle of Wight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","Inner London - West","EO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Transport","Inner London - West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","Leicestershire, Rutland and Northamptonshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","Merseyside","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","Northumberland, and Tyne and Wear","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","Shropshire and Staffordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","Surrey, East and West Sussex","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","West Midlands","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","West Midlands","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","West Wales and The Valleys","AA/AO","75","60","19110","18310"
"In post","2022","16-19","Department for Work and Pensions","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Cornwall and Isles of Scilly","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Derbyshire and Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Devon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","East Anglia","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","East Anglia","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","East Wales","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","East Yorkshire and Northern Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Greater Manchester","AA/AO","10","10","21260","21260"
"In post","2022","16-19","Department for Work and Pensions","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Hampshire and Isle of Wight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Kent","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Lancashire","AA/AO","15","15","21260","21260"
"In post","2022","16-19","Department for Work and Pensions","Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Leicestershire, Rutland and Northamptonshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Leicestershire, Rutland and Northamptonshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Merseyside","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Northumberland, and Tyne and Wear","AA/AO","10","10","21260","21260"
"In post","2022","16-19","Department for Work and Pensions","Northumberland, and Tyne and Wear","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Outer London - East and North East","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Outer London - East and North East","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Outer London - South","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","South Yorkshire","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","South Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Southern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Surrey, East and West Sussex","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Surrey, East and West Sussex","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Tees Valley and Durham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","West Central Scotland","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","West Midlands","AA/AO","10","10","21260","21260"
"In post","2022","16-19","Department for Work and Pensions","West Wales and The Valleys","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","West Wales and The Valleys","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","West Yorkshire","AA/AO","10","10","21210","21260"
"In post","2022","16-19","Department for Work and Pensions","West Yorkshire","EO","5","5","[c]","[c]"
