"Status","Year","Disability","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Northern Ireland","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland","Lisburn and Castlereagh","35","35","27860","27420"
"In post","2022","Declared disabled","Northern Ireland","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland","Mid Ulster","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Overseas","Overseas","235","235","47790","44970"
"In post","2022","Declared disabled","Scotland","Aberdeen City and Aberdeenshire","135","125","33920","27750"
"In post","2022","Declared disabled","Scotland","Angus and Dundee City","275","250","25330","22140"
"In post","2022","Declared disabled","Scotland","Caithness and Sutherland, and Ross and Cromarty","20","15","[c]","[c]"
"In post","2022","Declared disabled","Scotland","City of Edinburgh","1215","1155","37340","33080"
"In post","2022","Declared disabled","Scotland","Clackmannanshire and Fife","155","140","31150","27570"
"In post","2022","Declared disabled","Scotland","Dumfries and Galloway","25","25","[c]","[c]"
"In post","2022","Declared disabled","Scotland","East Ayrshire and North Ayrshire mainland","95","85","25470","27230"
"In post","2022","Declared disabled","Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","165","150","30320","27570"
"In post","2022","Declared disabled","Scotland","East Lothian and Midlothian","30","25","30780","27570"
"In post","2022","Declared disabled","Scotland","Falkirk","200","175","28450","27570"
"In post","2022","Declared disabled","Scotland","Glasgow City","1385","1275","30130","27570"
"In post","2022","Declared disabled","Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","115","95","29350","27570"
"In post","2022","Declared disabled","Scotland","Inverness and Nairn, Moray, and Badenoch and Strathspey","120","105","28970","27570"
"In post","2022","Declared disabled","Scotland","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","25","25","[c]","[c]"
"In post","2022","Declared disabled","Scotland","Na h-Eileanan Siar","10","10","[c]","[c]"
"In post","2022","Declared disabled","Scotland","North Lanarkshire","270","230","26530","22080"
"In post","2022","Declared disabled","Scotland","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Scotland","Perth and Kinross, and Stirling","130","125","32170","29970"
"In post","2022","Declared disabled","Scotland","Scottish Borders","40","35","28510","25930"
"In post","2022","Declared disabled","Scotland","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Scotland","South Ayrshire","35","35","28110","27570"
"In post","2022","Declared disabled","Scotland","South Lanarkshire","340","300","30360","26820"
"In post","2022","Declared disabled","Scotland","West Lothian","50","50","32380","27570"
