"Status","Year","Function_of_post","Parent_department","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Attorney General's Departments","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Attorney General's Departments","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","G6","Heterosexual / straight","80","70","93730","89720"
"In post","2022","Analysis","Chancellor's other departments","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","G6","Undeclared","15","10","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","HEO","Unknown","5","5","[c]","[c]"
