"Status","Year","Ethnicity","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","AA/AO","Heterosexual / straight","6705","6005","22670","21260"
"In post","2022","Asian","AA/AO","LGBO","190","170","23060","21300"
"In post","2022","Asian","AA/AO","Undeclared","605","525","22680","21680"
"In post","2022","Asian","AA/AO","Unknown","1010","825","22530","21260"
"In post","2022","Asian","EO","Heterosexual / straight","8980","8490","28310","27570"
"In post","2022","Asian","EO","LGBO","205","190","28230","27570"
"In post","2022","Asian","EO","Undeclared","585","530","28580","28310"
"In post","2022","Asian","EO","Unknown","1050","930","28580","27570"
"In post","2022","Asian","G6/G7","Heterosexual / straight","3235","3160","58820","57290"
"In post","2022","Asian","G6/G7","LGBO","105","105","57210","55210"
"In post","2022","Asian","G6/G7","Undeclared","175","170","58420","56740"
"In post","2022","Asian","G6/G7","Unknown","315","295","59830","58380"
"In post","2022","Asian","SCS level","Heterosexual / straight","270","265","90840","85000"
"In post","2022","Asian","SCS level","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","SCS level","Unknown","35","35","99870","87110"
"In post","2022","Asian","SEO/HEO","Heterosexual / straight","7965","7760","37250","36500"
"In post","2022","Asian","SEO/HEO","LGBO","195","190","37580","36720"
"In post","2022","Asian","SEO/HEO","Undeclared","455","440","37620","36880"
"In post","2022","Asian","SEO/HEO","Unknown","705","685","37760","37610"
"In post","2022","Asian","Unknown","Heterosexual / straight","785","735","30030","28200"
"In post","2022","Asian","Unknown","LGBO","20","15","[c]","[c]"
"In post","2022","Asian","Unknown","Undeclared","25","25","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Black","AA/AO","Heterosexual / straight","3390","3170","24470","23760"
"In post","2022","Black","AA/AO","LGBO","75","70","24490","23720"
"In post","2022","Black","AA/AO","Undeclared","230","205","24370","24310"
"In post","2022","Black","AA/AO","Unknown","450","405","25380","24310"
"In post","2022","Black","EO","Heterosexual / straight","4710","4535","29170","29250"
"In post","2022","Black","EO","LGBO","130","130","29220","28990"
"In post","2022","Black","EO","Undeclared","275","265","29450","29370"
"In post","2022","Black","EO","Unknown","545","500","30070","31020"
"In post","2022","Black","G6/G7","Heterosexual / straight","1275","1265","57990","55770"
"In post","2022","Black","G6/G7","LGBO","45","45","58830","56340"
"In post","2022","Black","G6/G7","Undeclared","60","60","57140","55170"
"In post","2022","Black","G6/G7","Unknown","100","95","58800","56090"
"In post","2022","Black","SCS level","Heterosexual / straight","80","80","91020","82420"
"In post","2022","Black","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","SCS level","Unknown","10","10","[c]","[c]"
"In post","2022","Black","SEO/HEO","Heterosexual / straight","3940","3880","37660","36970"
"In post","2022","Black","SEO/HEO","LGBO","80","80","37500","36480"
"In post","2022","Black","SEO/HEO","Undeclared","200","195","38180","37770"
"In post","2022","Black","SEO/HEO","Unknown","275","270","38040","37930"
"In post","2022","Black","Unknown","Heterosexual / straight","1125","1080","31400","28690"
"In post","2022","Black","Unknown","LGBO","15","15","[c]","[c]"
"In post","2022","Black","Unknown","Undeclared","45","45","34490","33700"
"In post","2022","Black","Unknown","Unknown","15","10","[c]","[c]"
"In post","2022","Mixed","AA/AO","Heterosexual / straight","1545","1435","23540","21680"
"In post","2022","Mixed","AA/AO","LGBO","170","165","23730","21680"
"In post","2022","Mixed","AA/AO","Undeclared","150","135","23630","21830"
"In post","2022","Mixed","AA/AO","Unknown","150","125","23140","21260"
"In post","2022","Mixed","EO","Heterosexual / straight","1800","1715","28270","27570"
"In post","2022","Mixed","EO","LGBO","190","185","28100","27570"
"In post","2022","Mixed","EO","Undeclared","195","180","28270","27570"
"In post","2022","Mixed","EO","Unknown","135","120","28530","27570"
"In post","2022","Mixed","G6/G7","Heterosexual / straight","1145","1105","58470","56640"
"In post","2022","Mixed","G6/G7","LGBO","140","140","57810","56360"
"In post","2022","Mixed","G6/G7","Undeclared","90","90","57890","54850"
"In post","2022","Mixed","G6/G7","Unknown","100","95","60320","59520"
"In post","2022","Mixed","SCS level","Heterosexual / straight","115","115","84020","78000"
"In post","2022","Mixed","SCS level","LGBO","10","10","[c]","[c]"
"In post","2022","Mixed","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2022","Mixed","SCS level","Unknown","10","10","[c]","[c]"
"In post","2022","Mixed","SEO/HEO","Heterosexual / straight","2050","2000","37260","36500"
"In post","2022","Mixed","SEO/HEO","LGBO","255","250","36840","36140"
"In post","2022","Mixed","SEO/HEO","Undeclared","175","170","37420","36700"
"In post","2022","Mixed","SEO/HEO","Unknown","170","165","36100","35360"
"In post","2022","Mixed","Unknown","Heterosexual / straight","470","450","30930","30000"
"In post","2022","Mixed","Unknown","LGBO","45","40","28400","24800"
"In post","2022","Mixed","Unknown","Undeclared","35","30","32950","31420"
"In post","2022","Mixed","Unknown","Unknown","15","10","[c]","[c]"
"In post","2022","Other ethnicity","AA/AO","Heterosexual / straight","410","380","23880","22240"
"In post","2022","Other ethnicity","AA/AO","LGBO","40","35","24950","23140"
"In post","2022","Other ethnicity","AA/AO","Undeclared","45","40","24050","22080"
"In post","2022","Other ethnicity","AA/AO","Unknown","70","60","24310","23230"
"In post","2022","Other ethnicity","EO","Heterosexual / straight","530","505","28580","27850"
"In post","2022","Other ethnicity","EO","LGBO","50","50","28810","27960"
"In post","2022","Other ethnicity","EO","Undeclared","75","70","28950","28990"
"In post","2022","Other ethnicity","EO","Unknown","70","65","28900","28310"
"In post","2022","Other ethnicity","G6/G7","Heterosexual / straight","285","275","59610","57460"
"In post","2022","Other ethnicity","G6/G7","LGBO","55","50","57050","54870"
"In post","2022","Other ethnicity","G6/G7","Undeclared","60","55","61200","57460"
"In post","2022","Other ethnicity","G6/G7","Unknown","45","40","60070","58730"
"In post","2022","Other ethnicity","SCS level","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Other ethnicity","SCS level","LGBO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2022","Other ethnicity","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","SEO/HEO","Heterosexual / straight","580","565","37810","37170"
"In post","2022","Other ethnicity","SEO/HEO","LGBO","55","55","38080","36330"
"In post","2022","Other ethnicity","SEO/HEO","Undeclared","75","75","39270","39090"
"In post","2022","Other ethnicity","SEO/HEO","Unknown","55","55","39800","38330"
"In post","2022","Other ethnicity","Unknown","Heterosexual / straight","90","85","31020","28820"
"In post","2022","Other ethnicity","Unknown","LGBO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Heterosexual / straight","805","735","23180","21830"
"In post","2022","Undeclared","AA/AO","LGBO","95","90","24730","22030"
"In post","2022","Undeclared","AA/AO","Undeclared","2695","2455","23200","21680"
"In post","2022","Undeclared","AA/AO","Unknown","1045","865","22220","21260"
"In post","2022","Undeclared","EO","Heterosexual / straight","980","915","28930","27570"
"In post","2022","Undeclared","EO","LGBO","85","80","29050","27570"
"In post","2022","Undeclared","EO","Undeclared","3315","3080","28270","27570"
"In post","2022","Undeclared","EO","Unknown","1230","1085","29030","27570"
"In post","2022","Undeclared","G6/G7","Heterosexual / straight","360","350","59400","57620"
