"Status","Year","Parent_department","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Commercial","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","SEO/HEO","HEO","10","10","31290","30610"
"In post","2022","Attorney General's Departments","Commercial","SEO/HEO","SEO","15","15","39000","38180"
"In post","2022","Attorney General's Departments","Communications","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","EO","EO","15","15","27520","26970"
"In post","2022","Attorney General's Departments","Communications","G6/G7","G6","10","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","G6/G7","G7","15","15","53310","54760"
"In post","2022","Attorney General's Departments","Communications","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","SEO/HEO","HEO","20","20","31610","31560"
"In post","2022","Attorney General's Departments","Communications","SEO/HEO","SEO","30","30","40580","39750"
"In post","2022","Attorney General's Departments","Corporate Finance","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","EO","EO","40","40","27250","26260"
"In post","2022","Attorney General's Departments","Counter Fraud","G6/G7","G6","35","35","71230","69930"
"In post","2022","Attorney General's Departments","Counter Fraud","G6/G7","G7","40","40","60040","59220"
"In post","2022","Attorney General's Departments","Counter Fraud","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","SEO/HEO","HEO","50","50","33840","33100"
"In post","2022","Attorney General's Departments","Counter Fraud","SEO/HEO","SEO","65","60","41430","40470"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","EO","EO","35","35","27530","26970"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","G6/G7","G6","10","10","69590","67840"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","G6/G7","G7","30","30","54950","55020"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","SEO/HEO","HEO","45","45","32900","32050"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","SEO/HEO","SEO","40","40","41370","40170"
"In post","2022","Attorney General's Departments","Finance","AA/AO","AO","75","65","22520","22200"
"In post","2022","Attorney General's Departments","Finance","EO","EO","55","50","26750","26590"
"In post","2022","Attorney General's Departments","Finance","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","G6/G7","G7","15","15","54970","54760"
"In post","2022","Attorney General's Departments","Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","SEO/HEO","HEO","45","45","32060","31730"
"In post","2022","Attorney General's Departments","Finance","SEO/HEO","SEO","15","15","39530","38910"
"In post","2022","Attorney General's Departments","Human Resources","AA/AO","AO","35","30","22600","23320"
"In post","2022","Attorney General's Departments","Human Resources","EO","EO","45","45","26760","26950"
"In post","2022","Attorney General's Departments","Human Resources","G6/G7","G6","15","10","70090","70170"
"In post","2022","Attorney General's Departments","Human Resources","G6/G7","G7","40","40","53710","51660"
"In post","2022","Attorney General's Departments","Human Resources","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","SEO/HEO","HEO","80","75","31530","30930"
"In post","2022","Attorney General's Departments","Human Resources","SEO/HEO","SEO","35","35","39160","38180"
"In post","2022","Attorney General's Departments","Intelligence Analysis","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Intelligence Analysis","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","EO","EO","20","20","28160","28430"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","G6/G7","G7","10","10","55090","54080"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Legal","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Legal","EO","EO","200","200","28540","27200"
"In post","2022","Attorney General's Departments","Legal","G6/G7","G6","1005","925","68650","66610"
"In post","2022","Attorney General's Departments","Legal","G6/G7","G7","3555","3275","54980","53050"
"In post","2022","Attorney General's Departments","Legal","SCS level","SCS level","270","255","85870","82380"
"In post","2022","Attorney General's Departments","Legal","SEO/HEO","HEO","405","385","38960","38000"
"In post","2022","Attorney General's Departments","Legal","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Operational Delivery","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Operational Delivery","AA/AO","AO","1340","1225","22710","22200"
"In post","2022","Attorney General's Departments","Operational Delivery","EO","EO","1165","1075","27920","28430"
"In post","2022","Attorney General's Departments","Operational Delivery","G6/G7","G6","25","25","71270","70170"
"In post","2022","Attorney General's Departments","Operational Delivery","G6/G7","G7","40","35","55000","54760"
"In post","2022","Attorney General's Departments","Operational Delivery","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Operational Delivery","SEO/HEO","HEO","205","200","32240","32080"
"In post","2022","Attorney General's Departments","Operational Delivery","SEO/HEO","SEO","105","105","39770","39750"
"In post","2022","Attorney General's Departments","Other","AA/AO","AO","45","40","23940","24050"
"In post","2022","Attorney General's Departments","Other","EO","EO","255","240","27440","26950"
"In post","2022","Attorney General's Departments","Other","G6/G7","G6","20","20","66400","64680"
"In post","2022","Attorney General's Departments","Other","G6/G7","G7","35","35","52300","51250"
"In post","2022","Attorney General's Departments","Other","SCS level","SCS level","10","10","104380","93000"
