"Status","Year","Disability","Profession_of_post","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","Aberdeen City and Aberdeenshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Angus and Dundee City","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Antrim and Newtownabbey","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Barking & Dagenham and Havering","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Barnet","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Barnsley, Doncaster and Rotherham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","115","110","39500","37400"
"In post","2022","Declared disabled","Commercial","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Belfast","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Bexley and Greenwich","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Birmingham","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Blackburn with Darwen","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Blackpool","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Bournemouth, Christchurch and Poole","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Bradford","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Brent","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Bridgend and Neath Port Talbot","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Brighton and Hove","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Bristol, City of","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Buckinghamshire","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Calderdale and Kirklees","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cambridgeshire CC","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Central Bedfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Central Hampshire","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Central Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cheshire West and Chester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Chorley and West Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Clackmannanshire and Fife","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Conwy and Denbighshire","Outside London","[c]","[c]","[c]","[c]"
