"Status","Year","Disability","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Grants Management","SEO/HEO","HEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","AA/AO","AA","10","10","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","AA/AO","AO","195","175","21740","21300"
"In post","2022","Declared disabled","Human Resources","EO","EO","360","335","27630","27570"
"In post","2022","Declared disabled","Human Resources","G6/G7","G6","80","75","67700","66250"
"In post","2022","Declared disabled","Human Resources","G6/G7","G7","235","230","53980","54070"
"In post","2022","Declared disabled","Human Resources","SCS level","SCS level","45","40","85350","78300"
"In post","2022","Declared disabled","Human Resources","SEO/HEO","HEO","390","375","33480","33300"
"In post","2022","Declared disabled","Human Resources","SEO/HEO","SEO","285","270","41050","40520"
"In post","2022","Declared disabled","Human Resources","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","EO","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","G6/G7","G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SEO/HEO","HEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SEO/HEO","SEO","30","30","43870","43070"
"In post","2022","Declared disabled","Legal","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","AA/AO","AO","195","180","22810","22200"
"In post","2022","Declared disabled","Legal","EO","EO","240","220","28300","28430"
"In post","2022","Declared disabled","Legal","G6/G7","G6","100","90","71070","71130"
"In post","2022","Declared disabled","Legal","G6/G7","G7","420","390","56730","55610"
"In post","2022","Declared disabled","Legal","SCS level","SCS level","35","35","82940","80410"
"In post","2022","Declared disabled","Legal","SEO/HEO","HEO","140","135","35460","34480"
"In post","2022","Declared disabled","Legal","SEO/HEO","SEO","80","75","45610","41750"
"In post","2022","Declared disabled","No function","AA/AO","AA","1280","1105","20650","20890"
"In post","2022","Declared disabled","No function","AA/AO","AO","10005","8715","22690","21260"
"In post","2022","Declared disabled","No function","EO","EO","10935","9825","28180","27570"
"In post","2022","Declared disabled","No function","G6/G7","G6","470","450","67360","65440"
"In post","2022","Declared disabled","No function","G6/G7","G7","1405","1365","54800","54160"
"In post","2022","Declared disabled","No function","SCS level","SCS level","205","200","89560","78420"
"In post","2022","Declared disabled","No function","SEO/HEO","HEO","3455","3270","33900","33370"
