"Status","Year","Disability","Ethnicity","Function_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","Analysis","London","35","30","45030","38020"
"In post","2022","Declared disabled","Asian","Analysis","Outside London","10","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","London","15","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Outside London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","London","60","55","33200","31880"
"In post","2022","Declared disabled","Asian","Counter Fraud","Outside London","70","65","27960","27570"
"In post","2022","Declared disabled","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Debt","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Debt","Outside London","50","40","22470","21260"
"In post","2022","Declared disabled","Asian","Debt","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","London","45","45","41460","36980"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Outside London","45","45","36620","32500"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","London","45","40","43980","42370"
"In post","2022","Declared disabled","Asian","Finance","Outside London","30","30","32490","28740"
"In post","2022","Declared disabled","Asian","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Grants Management","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Grants Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","London","50","50","39300","36650"
"In post","2022","Declared disabled","Asian","Human Resources","Outside London","40","40","36320","33370"
"In post","2022","Declared disabled","Asian","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","London","60","55","45460","43620"
"In post","2022","Declared disabled","Asian","Legal","Outside London","50","45","35970","33370"
"In post","2022","Declared disabled","Asian","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","No function","London","670","620","34990","31060"
"In post","2022","Declared disabled","Asian","No function","Outside London","1140","1030","27360","27570"
"In post","2022","Declared disabled","Asian","No function","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","No function","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Project Delivery","London","55","50","41860","39960"
"In post","2022","Declared disabled","Asian","Project Delivery","Outside London","50","50","39460","33780"
