"Status","Year","Disability","Ethnicity","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","Aberdeen City and Aberdeenshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Angus and Dundee City","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Antrim and Newtownabbey","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Ards and North Down","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Armagh City, Banbridge and Craigavon","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Barking & Dagenham and Havering","London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Barnet","London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Barnsley, Doncaster and Rotherham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Bedford","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Belfast","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Berkshire","Outside London","35","35","30490","29290"
"In post","2022","Declared disabled","Asian","Bexley and Greenwich","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Birmingham","Outside London","295","270","28330","27570"
"In post","2022","Declared disabled","Asian","Blackburn with Darwen","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Blackpool","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Bournemouth, Christchurch and Poole","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Bradford","Outside London","65","60","24810","21260"
"In post","2022","Declared disabled","Asian","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Brent","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Bridgend and Neath Port Talbot","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Brighton and Hove","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Bristol, City of","Outside London","25","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Bromley","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Buckinghamshire","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Caithness and Sutherland, and Ross and Cromarty","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Calderdale and Kirklees","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cambridgeshire CC","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Camden and City of London","London","30","30","28930","28450"
"In post","2022","Declared disabled","Asian","Cardiff and Vale of Glamorgan","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Causeway Coast and Glens","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Central Bedfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Central Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Central Valleys","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cheshire West and Chester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Chorley and West Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","City of Edinburgh","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Clackmannanshire and Fife","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Conwy and Denbighshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Coventry","Outside London","30","30","32150","28460"
"In post","2022","Declared disabled","Asian","Croydon","London","160","140","34250","30880"
"In post","2022","Declared disabled","Asian","Darlington","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Derby","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Derry City and Strabane","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Dorset","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Dudley","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Dumfries and Galloway","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Ealing","London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Ayrshire and North Ayrshire mainland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Lancashire","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Lothian and Midlothian","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Riding of Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Surrey","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Sussex CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Enfield","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Essex Haven Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Essex Thames Gateway","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Falkirk","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Fermanagh and Omagh","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Flintshire and Wrexham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Glasgow City","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Gloucestershire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Greater Manchester North East","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Greater Manchester North West","Outside London","15","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Greater Manchester South East","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Greater Manchester South West","Outside London","50","50","28860","26490"
"In post","2022","Declared disabled","Asian","Gwent Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Gwynedd","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Hackney and Newham","London","155","140","34990","31060"
"In post","2022","Declared disabled","Asian","Haringey and Islington","London","30","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Harrow and Hillingdon","London","120","105","30770","29510"
"In post","2022","Declared disabled","Asian","Hartlepool and Stockton-on-Tees","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Herefordshire, County of","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Hertfordshire CC","Outside London","45","40","36500","30750"
"In post","2022","Declared disabled","Asian","Hounslow and Richmond upon Thames","London","55","50","32010","30110"
"In post","2022","Declared disabled","Asian","Inverclyde, East Renfrewshire, and Renfrewshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Inverness and Nairn, Moray, and Badenoch and Strathspey","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Isle of Anglesey","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Kensington & Chelsea and Hammersmith & Fulham","London","5","5","[c]","[c]"
