"Status","Year","Organisation","Region_london","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Outside London","AA","Heterosexual / straight","15","10","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","AA","Unknown","15","15","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","EO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","EO","Unknown","10","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","AO","Unknown","[c]","[c]","[c]","[c]"
