"Status","Year","Ethnicity","Function_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Competition and Markets Authority","Competition and Markets Authority","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","35","35","42540","37000"
"In post","2022","Asian","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","20","20","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Education (excl. agencies)","Department for Education","15","15","[c]","[c]"
"In post","2022","Asian","Analysis","Department for International Trade","Department for International Trade","35","35","44370","47870"
"In post","2022","Asian","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","30","30","44120","41290"
"In post","2022","Asian","Analysis","Department for Transport (excl. agencies)","Department for Transport","25","20","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","45","45","38710","36650"
"In post","2022","Asian","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","35","35","46620","53360"
"In post","2022","Asian","Analysis","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Government Actuary's Department","Chancellor's other departments","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","HM Courts and Tribunals Service","Ministry of Justice","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","HM Prison and Probation Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","85","85","44940","40350"
"In post","2022","Asian","Analysis","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
