"Status","Year","Disability","Parent_department","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Attorney General's Departments","East Midlands (England)","Outside London","65","60","37060","33310"
"In post","2022","Declared disabled","Attorney General's Departments","East of England","Outside London","55","50","40860","34480"
"In post","2022","Declared disabled","Attorney General's Departments","London","London","440","410","49380","51510"
"In post","2022","Declared disabled","Attorney General's Departments","North East (England)","Outside London","45","40","35820","28430"
"In post","2022","Declared disabled","Attorney General's Departments","North West (England)","Outside London","130","120","39780","32680"
"In post","2022","Declared disabled","Attorney General's Departments","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","South East (England)","Outside London","90","85","42550","39750"
"In post","2022","Declared disabled","Attorney General's Departments","South West (England)","Outside London","40","35","38570","32050"
"In post","2022","Declared disabled","Attorney General's Departments","Wales","Outside London","35","35","38630","36240"
"In post","2022","Declared disabled","Attorney General's Departments","West Midlands (England)","Outside London","60","55","44040","48080"
"In post","2022","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","Outside London","100","95","40110","34480"
"In post","2022","Declared disabled","Cabinet Office","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","East of England","Outside London","30","30","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","London","London","520","510","49080","49700"
"In post","2022","Declared disabled","Cabinet Office","North East (England)","Outside London","65","60","28870","24100"
"In post","2022","Declared disabled","Cabinet Office","North West (England)","Outside London","70","70","40450","38890"
"In post","2022","Declared disabled","Cabinet Office","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Scotland","Outside London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","South East (England)","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","South West (England)","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Unknown","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Wales","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","West Midlands (England)","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Yorkshire and The Humber","Outside London","110","105","35540","33300"
"In post","2022","Declared disabled","Chancellor's other departments","London","London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","North West (England)","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","London","London","45","45","54170","52190"
"In post","2022","Declared disabled","Competition and Markets Authority","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Outside London","30","30","30880","30650"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","East of England","Outside London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","London","London","570","555","47120","42630"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","North East (England)","Outside London","40","35","35050","30950"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","North West (England)","Outside London","70","65","34040","31360"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Scotland","Outside London","40","40","33240","30950"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","South East (England)","Outside London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","South West (England)","Outside London","140","135","35890","36160"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Wales","Outside London","210","190","33570","30380"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Outside London","85","80","34220","30950"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","Outside London","20","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","London","London","150","145","47480","40510"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","North West (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","East Midlands (England)","Outside London","35","35","37260","36640"
"In post","2022","Declared disabled","Department for Education","East of England","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","London","London","225","215","48780","45250"
"In post","2022","Declared disabled","Department for Education","North East (England)","Outside London","90","85","36650","36500"
"In post","2022","Declared disabled","Department for Education","North West (England)","Outside London","120","120","38640","36500"
"In post","2022","Declared disabled","Department for Education","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","South West (England)","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","West Midlands (England)","Outside London","110","105","39290","36500"
