"Status","Year","Disability","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","East Midlands (England)","10","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East of England","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","London","280","270","46700","41750"
"In post","2022","Declared disabled","Analysis","North East (England)","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North West (England)","55","50","39140","34870"
"In post","2022","Declared disabled","Analysis","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Scotland","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","South East (England)","85","75","41610","38340"
"In post","2022","Declared disabled","Analysis","South West (England)","40","35","34900","33840"
"In post","2022","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Wales","120","115","36180","36440"
"In post","2022","Declared disabled","Analysis","West Midlands (England)","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Yorkshire and The Humber","60","55","38490","35590"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","15","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","90","90","42810","40650"
"In post","2022","Declared disabled","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North West (England)","55","50","36230","33370"
"In post","2022","Declared disabled","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Scotland","35","30","35970","33930"
"In post","2022","Declared disabled","Commercial","South East (England)","30","30","37190","34900"
"In post","2022","Declared disabled","Commercial","South West (England)","115","110","41840","40580"
"In post","2022","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Wales","30","30","32070","30730"
"In post","2022","Declared disabled","Commercial","West Midlands (England)","25","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Yorkshire and The Humber","40","35","39550","36500"
"In post","2022","Declared disabled","Communications","East Midlands (England)","50","45","31950","32190"
"In post","2022","Declared disabled","Communications","East of England","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","London","150","145","43070","40070"
"In post","2022","Declared disabled","Communications","North East (England)","105","95","28150","26820"
"In post","2022","Declared disabled","Communications","North West (England)","55","55","32520","31880"
"In post","2022","Declared disabled","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Scotland","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","South East (England)","35","35","35410","33150"
